# Saha solution with Stewart-Pyat α=1 IPD
   n[1/cc]      T[K]         Zbar         x_0[eV]      x_1[eV]      x_2[eV]      x_3[eV]      x_4[eV]      x_5[eV]      x_6[eV]      χ_0[eV]      χ_1[eV]      χ_2[eV]      χ_3[eV]      χ_4[eV]      χ_5[eV]      χ_6[eV]      
   6.244e+19    1.776e+03    2.104e-22    1.000e+00    2.104e-22    1.505e-33    2.158e-47    1.831e-58    2.056e-58    2.423e-62    0.000e+00    1.576e+01    2.763e+01    4.073e+01    5.958e+01    7.484e+01    9.129e+01
   6.244e+19    1.811e+03    5.817e-22    1.000e+00    5.817e-22    7.017e-33    3.923e-47    2.775e-58    2.993e-58    3.942e-62    0.000e+00    1.576e+01    2.763e+01    4.073e+01    5.958e+01    7.484e+01    9.129e+01
   6.244e+19    1.847e+03    1.577e-21    1.000e+00    1.577e-21    3.176e-32    1.940e-46    4.174e-58    4.329e-58    6.363e-62    0.000e+00    1.576e+01    2.763e+01    4.073e+01    5.958e+01    7.484e+01    9.129e+01
   6.244e+19    1.884e+03    4.195e-21    1.000e+00    4.195e-21    1.396e-31    1.496e-45    6.231e-58    6.223e-58    1.019e-61    0.000e+00    1.576e+01    2.763e+01    4.073e+01    5.958e+01    7.484e+01    9.129e+01
   6.244e+19    1.921e+03    1.095e-20    1.000e+00    1.095e-20    5.970e-31    1.200e-44    9.235e-58    8.892e-58    1.619e-61    0.000e+00    1.576e+01    2.763e+01    4.073e+01    5.958e+01    7.484e+01    9.129e+01
   6.244e+19    1.960e+03    2.807e-20    1.000e+00    2.807e-20    2.482e-30    9.349e-44    1.359e-57    1.263e-57    2.553e-61    0.000e+00    1.576e+01    2.763e+01    4.073e+01    5.958e+01    7.484e+01    9.129e+01
   6.244e+19    1.998e+03    7.065e-20    1.000e+00    7.065e-20    1.004e-29    7.011e-43    1.985e-57    1.783e-57    3.996e-61    0.000e+00    1.576e+01    2.763e+01    4.073e+01    5.958e+01    7.484e+01    9.129e+01
   6.244e+19    2.038e+03    1.747e-19    1.000e+00    1.747e-19    3.958e-29    5.061e-42    2.880e-57    2.503e-57    6.208e-61    0.000e+00    1.576e+01    2.763e+01    4.073e+01    5.958e+01    7.484e+01    9.129e+01
   6.244e+19    2.079e+03    4.247e-19    1.000e+00    4.247e-19    1.519e-28    3.518e-41    4.151e-57    3.495e-57    9.578e-61    0.000e+00    1.576e+01    2.763e+01    4.073e+01    5.958e+01    7.484e+01    9.129e+01
   6.244e+19    2.120e+03    1.015e-18    1.000e+00    1.015e-18    5.685e-28    2.357e-40    5.943e-57    4.851e-57    1.467e-60    0.000e+00    1.576e+01    2.763e+01    4.073e+01    5.958e+01    7.484e+01    9.129e+01
