E_γ[eV]  opacity[cm^2/g]
6.463e-2 9.425e+2
1.576e-1 5.076e+3
1.577e-1 4.355e+3
1.649e-1 3.720e+3
1.651e-1 3.192e+3
1.653e-1 2.738e+3
1.694e-1 7.754e+2
1.699e-1 1.091e+3
1.737e-1 2.335e+3
1.739e-1 2.003e+3
1.740e-1 1.719e+3
1.742e-1 1.475e+3
1.744e-1 1.265e+3
1.795e-1 6.072e+3
2.588e-1 2.315e+2
2.621e-1 2.545e+2
2.721e-1 3.532e+2
2.722e-1 3.030e+2
2.853e-1 5.561e+2
2.855e-1 4.771e+2
2.857e-1 4.106e+2
2.886e-1 6.556e+2
3.487e-1 1.157e+3
3.528e-1 1.909e+3
3.529e-1 1.638e+3
3.531e-1 1.405e+3
3.581e-1 9.711e+2
3.713e-1 7.995e+3
3.847e-1 2.215e+3
3.864e-1 3.980e+3
3.865e-1 3.415e+3
3.867e-1 2.930e+3
3.869e-1 2.518e+3
3.927e-1 6.306e+3
3.929e-1 5.410e+3
3.977e-1 4.574e+3
4.021e-1 1.138e+4
4.042e-1 5.215e+4
4.047e-1 3.392e+4
4.048e-1 2.910e+4
4.050e-1 2.497e+4
4.052e-1 2.142e+4
4.053e-1 1.838e+4
4.097e-1 4.168e+4
4.193e-1 1.571e+4
4.194e-1 1.348e+4
4.315e-1 6.120e+4
4.473e-1 9.776e+3
6.487e-1 2.952e+2
6.502e-1 4.408e+2
6.647e-1 3.536e+2
7.345e-1 6.908e+2
7.378e-1 5.764e+2
7.649e-1 3.241e+3
7.727e-1 8.321e+2
7.788e-1 2.899e+3
7.793e-1 1.925e+3
7.794e-1 1.652e+3
7.796e-1 1.417e+3
7.798e-1 1.216e+3
7.799e-1 1.043e+3
7.990e-1 2.390e+3
8.055e-1 5.972e+3
8.083e-1 4.645e+2
8.191e-1 7.396e+3
8.586e-1 3.656e+4
8.692e-1 1.001e+4
8.780e-1 5.012e+3
8.909e-1 1.592e+4
8.911e-1 1.366e+4
8.945e-1 8.772e+3
9.005e-1 1.986e+4
9.072e-1 2.382e+4
9.080e-1 1.161e+4
9.207e-1 3.093e+4
9.308e-1 1.044e+5
9.429e-1 7.039e+4
9.442e-1 2.645e+4
9.534e-1 1.472e+5
9.570e-1 8.763e+4
9.634e-1 1.218e+5
9.657e-1 4.502e+4
9.881e-1 6.020e+4
1.042e+0 5.300e+4
1.072e+0 4.362e+3
1.181e+0 2.593e+3
1.181e+0 1.463e+3
1.183e+0 1.974e+4
1.191e+0 7.309e+3
1.191e+0 5.906e+3
1.192e+0 1.215e+3
1.193e+0 1.044e+3
1.205e+0 3.044e+3
1.206e+0 2.256e+3
1.209e+0 9.018e+2
1.218e+0 1.202e+4
1.221e+0 3.712e+3
1.221e+0 1.038e+4
1.221e+0 4.934e+3
1.225e+0 1.650e+4
1.225e+0 1.415e+4
1.228e+0 8.988e+3
1.246e+0 4.342e+3
1.251e+0 1.903e+3
1.288e+0 4.370e+4
1.296e+0 2.682e+4
1.414e+0 3.468e+4
1.470e+0 6.175e+4
1.477e+0 1.052e+5
1.479e+0 1.332e+4
1.483e+0 8.290e+4
1.487e+0 4.888e+4
1.530e+0 6.563e+3
1.530e+0 5.644e+3
1.539e+0 1.158e+4
1.556e+0 4.176e+4
1.565e+0 8.057e+3
1.579e+0 2.633e+4
1.583e+0 1.730e+4
1.628e+0 6.293e+4
1.629e+0 5.399e+4
1.629e+0 3.442e+4
1.634e+0 2.114e+4
1.659e+0 6.065e+3
1.670e+0 9.874e+3
1.678e+0 3.247e+3
1.683e+0 5.053e+3
1.685e+0 1.676e+4
1.686e+0 7.938e+3
1.686e+0 6.811e+3
1.690e+0 3.915e+3
1.695e+0 2.425e+3
1.713e+0 1.438e+4
1.715e+0 1.482e+3
1.715e+0 1.271e+3
1.715e+0 1.091e+3
1.720e+0 9.310e+2
1.721e+0 1.831e+3
1.744e+0 6.162e+2
1.744e+0 5.287e+2
1.748e+0 4.486e+2
1.754e+0 7.497e+2
1.772e+0 3.817e+2
1.808e+0 3.241e+2
1.845e+0 2.764e+2
1.895e+0 2.457e+2
2.061e+0 2.843e+2
2.084e+0 3.446e+2
2.143e+0 4.396e+2
2.198e+0 5.748e+2
2.252e+0 7.531e+2
2.307e+0 9.846e+2
2.360e+0 1.288e+3
2.413e+0 1.628e+3
2.477e+0 2.002e+3
2.532e+0 2.386e+3
2.697e+0 2.869e+3
2.889e+0 4.268e+3
2.892e+0 3.198e+3
2.980e+0 2.301e+3
3.008e+0 2.839e+3
3.028e+0 1.868e+3
3.088e+0 1.518e+3
3.183e+0 1.329e+3
3.349e+0 1.667e+3
3.523e+0 1.992e+3
3.599e+0 2.179e+3
3.714e+0 1.540e+3
3.765e+0 1.308e+3
3.793e+0 1.112e+3
3.820e+0 9.504e+2
3.842e+0 8.067e+2
3.903e+0 6.403e+2
3.959e+0 4.776e+2
4.014e+0 3.656e+2
4.044e+0 3.025e+2
4.182e+0 2.442e+2
4.496e+0 2.568e+2
4.771e+0 2.954e+2
4.991e+0 3.453e+2
5.238e+0 4.150e+2
5.541e+0 4.118e+2
5.844e+0 3.680e+2
6.147e+0 3.567e+2
6.449e+0 3.408e+2
6.752e+0 3.125e+2
7.055e+0 2.759e+2
7.344e+0 2.404e+2
7.592e+0 2.071e+2
7.812e+0 1.775e+2
8.019e+0 1.514e+2
8.198e+0 1.303e+2
8.363e+0 1.122e+2
8.487e+0 9.561e+1
8.652e+0 8.090e+1
8.804e+0 6.898e+1
8.941e+0 5.918e+1
9.079e+0 5.049e+1
9.206e+0 4.323e+1
9.351e+0 3.639e+1
9.482e+0 3.057e+1
9.613e+0 2.608e+1
9.727e+0 2.227e+1
9.840e+0 1.910e+1
9.985e+0 1.600e+1
1.012e+1 1.341e+1
1.027e+1 1.151e+1
1.055e+1 9.942e+0
1.084e+1 1.064e+1
1.099e+1 1.238e+1
1.110e+1 1.448e+1
1.113e+1 2.887e+1
1.114e+1 1.714e+1
1.116e+1 1.961e+1
1.117e+1 2.415e+1
1.118e+1 4.928e+1
1.118e+1 4.228e+1
1.118e+1 3.627e+1
1.118e+1 3.112e+1
1.120e+1 2.833e+2
1.120e+1 6.100e+1
1.120e+1 7.495e+1
1.121e+1 1.311e+3
1.121e+1 1.614e+2
1.121e+1 1.385e+2
1.121e+1 1.188e+2
1.121e+1 1.019e+2
1.121e+1 8.758e+1
1.122e+1 1.901e+2
1.123e+1 3.884e+3
1.124e+1 6.699e+2
1.124e+1 5.748e+2
1.124e+1 4.931e+2
1.124e+1 4.231e+2
1.124e+1 3.630e+2
1.124e+1 3.114e+2
1.124e+1 2.402e+2
1.125e+1 9.084e+2
1.125e+1 7.857e+2
1.126e+1 1.112e+3
1.126e+1 2.623e+3
1.126e+1 2.250e+3
1.126e+1 1.930e+3
1.126e+1 1.656e+3
1.126e+1 1.421e+3
1.129e+1 3.237e+3
1.129e+1 7.836e+3
1.129e+1 6.723e+3
1.129e+1 5.768e+3
1.129e+1 4.949e+3
1.129e+1 4.246e+3
1.130e+1 3.555e+4
1.131e+1 9.639e+3
1.131e+1 8.914e+4
1.131e+1 2.361e+4
1.132e+1 2.026e+4
1.132e+1 1.738e+4
1.132e+1 1.491e+4
1.132e+1 1.279e+4
1.132e+1 1.167e+4
1.133e+1 2.913e+4
1.134e+1 6.137e+4
1.134e+1 5.266e+4
1.134e+1 4.518e+4
1.134e+1 3.876e+4
1.137e+1 7.611e+4
1.137e+1 1.958e+5
1.137e+1 1.316e+5
1.137e+1 1.129e+5
1.137e+1 9.691e+4
1.139e+1 1.658e+5
1.140e+1 2.210e+5
1.143e+1 3.200e+5
1.146e+1 2.574e+5
1.148e+1 4.182e+5
1.151e+1 5.244e+5
1.151e+1 6.333e+5
1.153e+1 3.638e+5
1.153e+1 1.259e+6
1.154e+1 7.672e+5
1.155e+1 1.014e+6
1.168e+1 3.741e+5
1.169e+1 2.976e+5
1.170e+1 6.904e+5
1.170e+1 5.924e+5
1.170e+1 4.852e+5
1.170e+1 4.163e+5
1.170e+1 2.423e+5
1.170e+1 2.079e+5
1.170e+1 1.783e+5
1.170e+1 1.530e+5
1.170e+1 1.294e+5
1.173e+1 8.964e+4
1.173e+1 7.690e+4
1.173e+1 6.598e+4
1.173e+1 1.070e+5
1.173e+1 5.624e+4
1.175e+1 4.803e+4
1.175e+1 4.121e+4
1.175e+1 3.536e+4
1.175e+1 3.034e+4
1.176e+1 2.603e+4
1.176e+1 2.233e+4
1.176e+1 1.894e+4
1.178e+1 1.227e+4
1.178e+1 1.053e+4
1.178e+1 9.032e+3
1.178e+1 7.749e+3
1.179e+1 6.587e+3
1.179e+1 1.520e+4
1.181e+1 4.282e+3
1.181e+1 3.674e+3
1.181e+1 3.152e+3
1.181e+1 2.704e+3
1.182e+1 1.965e+3
1.182e+1 5.293e+3
1.183e+1 2.304e+3
1.184e+1 1.666e+3
1.184e+1 1.429e+3
1.184e+1 1.226e+3
1.184e+1 1.052e+3
1.184e+1 9.025e+2
1.185e+1 5.645e+2
1.186e+1 7.740e+2
1.186e+1 6.640e+2
1.187e+1 4.743e+2
1.187e+1 4.035e+2
1.187e+1 3.462e+2
1.187e+1 2.970e+2
1.187e+1 2.549e+2
1.187e+1 2.131e+2
1.189e+1 1.700e+2
1.189e+1 1.338e+2
1.196e+1 1.110e+2
1.196e+1 8.135e+1
1.197e+1 9.473e+1
1.220e+1 1.182e+2
1.230e+1 1.451e+2
1.241e+1 1.755e+2
1.249e+1 2.042e+2
1.257e+1 2.392e+2
1.268e+1 2.868e+2
1.279e+1 3.458e+2
1.290e+1 4.148e+2
1.301e+1 4.967e+2
1.313e+1 6.019e+2
1.323e+1 7.167e+2
1.335e+1 8.506e+2
1.345e+1 1.007e+3
1.356e+1 1.181e+3
1.365e+1 1.438e+3
1.367e+1 1.768e+3
1.368e+1 2.070e+3
1.370e+1 2.570e+3
1.371e+1 3.715e+3
1.371e+1 3.187e+3
1.372e+1 1.111e+4
1.373e+1 4.533e+3
1.374e+1 7.350e+3
1.374e+1 6.306e+3
1.374e+1 5.482e+3
1.376e+1 9.204e+3
1.376e+1 1.662e+4
1.376e+1 1.426e+4
1.376e+1 1.224e+4
1.378e+1 5.399e+4
1.378e+1 2.079e+4
1.379e+1 9.964e+4
1.379e+1 3.536e+4
1.379e+1 3.034e+4
1.379e+1 2.603e+4
1.381e+1 4.404e+4
1.382e+1 6.822e+4
1.382e+1 5.853e+4
1.384e+1 8.366e+4
1.384e+1 1.235e+5
1.384e+1 1.059e+5
1.386e+1 1.539e+5
1.387e+1 2.436e+5
1.387e+1 2.090e+5
1.387e+1 1.882e+5
1.388e+1 2.987e+5
1.389e+1 3.555e+5
1.390e+1 4.011e+5
1.392e+1 4.963e+5
1.398e+1 7.241e+5
1.399e+1 6.063e+5
1.404e+1 8.801e+5
1.404e+1 1.075e+6
1.406e+1 1.380e+6
1.406e+1 1.774e+6
1.417e+1 6.530e+5
1.420e+1 1.124e+6
1.420e+1 4.373e+5
1.420e+1 3.752e+5
1.421e+1 7.527e+5
1.421e+1 5.415e+5
1.421e+1 9.445e+5
1.421e+1 3.236e+5
1.422e+1 1.766e+5
1.423e+1 2.079e+5
1.424e+1 2.573e+5
1.426e+1 1.273e+5
1.426e+1 1.092e+5
1.426e+1 9.372e+4
1.426e+1 7.856e+4
1.427e+1 1.510e+5
1.429e+1 6.638e+4
1.429e+1 5.614e+4
1.429e+1 4.817e+4
1.429e+1 4.133e+4
1.429e+1 3.546e+4
1.430e+1 3.050e+4
1.431e+1 1.193e+4
1.431e+1 2.595e+4
1.431e+1 2.227e+4
1.431e+1 1.911e+4
1.431e+1 1.639e+4
1.431e+1 1.406e+4
1.432e+1 6.621e+3
1.433e+1 7.820e+3
1.433e+1 9.641e+3
1.439e+1 4.616e+3
1.445e+1 5.388e+3
1.469e+1 6.011e+3
1.481e+1 7.332e+3
1.492e+1 8.575e+3
1.503e+1 1.005e+4
1.514e+1 1.181e+4
1.525e+1 1.384e+4
1.536e+1 1.617e+4
1.547e+1 1.883e+4
1.558e+1 2.195e+4
1.569e+1 2.563e+4
1.583e+1 3.023e+4
1.597e+1 3.608e+4
1.611e+1 4.291e+4
1.625e+1 5.045e+4
1.642e+1 6.029e+4
1.660e+1 7.056e+4
1.682e+1 8.269e+4
1.709e+1 9.642e+4
1.739e+1 1.063e+5
1.770e+1 1.094e+5
1.800e+1 1.050e+5
1.832e+1 1.004e+5
1.846e+1 1.225e+5
1.847e+1 2.678e+5
1.848e+1 1.539e+5
1.850e+1 1.770e+5
1.851e+1 2.202e+5
1.853e+1 3.057e+5
1.859e+1 3.767e+5
1.862e+1 4.442e+5
1.864e+1 5.915e+5
1.866e+1 7.405e+5
1.867e+1 1.218e+6
1.869e+1 5.294e+5
1.869e+1 9.687e+5
1.882e+1 7.300e+5
1.882e+1 3.246e+5
1.884e+1 6.263e+5
1.884e+1 4.182e+5
1.884e+1 1.809e+5
1.885e+1 2.533e+5
1.885e+1 5.373e+5
1.885e+1 2.125e+5
1.888e+1 1.476e+5
1.890e+1 1.025e+5
1.891e+1 1.208e+5
1.896e+1 8.351e+4
1.921e+1 7.794e+4
1.951e+1 8.549e+4
1.979e+1 9.972e+4
2.002e+1 1.169e+5
2.023e+1 1.370e+5
2.041e+1 1.596e+5
2.061e+1 1.870e+5
2.077e+1 2.191e+5
2.093e+1 2.587e+5
2.107e+1 3.087e+5
2.124e+1 3.768e+5
2.137e+1 4.363e+5
2.151e+1 5.107e+5
2.164e+1 5.940e+5
2.178e+1 7.066e+5
2.196e+1 8.283e+5
2.218e+1 9.749e+5
2.245e+1 1.121e+6
2.276e+1 1.198e+6
2.306e+1 1.159e+6
2.335e+1 1.030e+6
2.358e+1 8.818e+5
2.376e+1 7.576e+5
2.393e+1 6.485e+5
2.404e+1 5.537e+5
2.418e+1 4.747e+5
2.431e+1 4.042e+5
2.445e+1 3.422e+5
2.459e+1 2.900e+5
2.473e+1 2.458e+5
2.486e+1 2.096e+5
2.501e+1 1.803e+5
2.518e+1 1.506e+5
2.532e+1 1.346e+5
2.549e+1 1.143e+5
2.569e+1 9.691e+4
2.586e+1 8.353e+4
2.602e+1 7.183e+4
2.619e+1 6.163e+4
2.631e+1 5.251e+4
2.648e+1 4.443e+4
2.663e+1 3.791e+4
2.676e+1 3.236e+4
2.690e+1 2.758e+4
2.704e+1 2.332e+4
2.716e+1 1.988e+4
2.727e+1 1.712e+4
2.738e+1 1.468e+4
2.749e+1 1.253e+4
2.761e+1 1.060e+4
2.770e+1 9.010e+3
2.782e+1 7.537e+3
2.792e+1 6.353e+3
2.800e+1 5.495e+3
2.809e+1 4.731e+3
2.817e+1 4.059e+3
2.825e+1 3.491e+3
2.834e+1 2.984e+3
2.842e+1 2.537e+3
2.850e+1 2.149e+3
2.858e+1 1.818e+3
2.867e+1 1.538e+3
2.875e+1 1.302e+3
2.883e+1 1.089e+3
2.889e+1 9.211e+2
2.898e+1 7.830e+2
2.908e+1 6.579e+2
2.916e+1 5.579e+2
2.925e+1 4.748e+2
2.933e+1 4.055e+2
2.941e+1 3.446e+2
2.952e+1 2.913e+2
2.964e+1 2.455e+2
2.977e+1 2.085e+2
3.002e+1 1.776e+2
3.031e+1 1.616e+2
3.061e+1 1.652e+2
3.091e+1 1.818e+2
3.120e+1 2.078e+2
3.148e+1 2.421e+2
3.166e+1 7.576e+5
3.166e+1 6.500e+5
3.166e+1 5.577e+5
3.166e+1 4.785e+5
3.166e+1 4.105e+5
3.166e+1 3.522e+5
3.166e+1 3.022e+5
3.166e+1 2.593e+5
3.166e+1 2.224e+5
3.166e+1 1.908e+5
3.166e+1 1.637e+5
3.166e+1 1.405e+5
3.166e+1 1.205e+5
3.166e+1 1.034e+5
3.166e+1 8.873e+4
3.166e+1 7.612e+4
3.166e+1 6.646e+4
3.166e+1 5.312e+4
3.166e+1 4.558e+4
3.166e+1 3.910e+4
3.166e+1 3.355e+4
3.166e+1 2.879e+4
3.166e+1 2.470e+4
3.166e+1 2.119e+4
3.166e+1 1.818e+4
3.166e+1 1.560e+4
3.166e+1 1.338e+4
3.166e+1 1.148e+4
3.166e+1 9.851e+3
3.166e+1 8.452e+3
3.166e+1 7.251e+3
3.166e+1 6.222e+3
3.166e+1 5.338e+3
3.166e+1 4.580e+3
3.166e+1 3.929e+3
3.166e+1 3.371e+3
3.166e+1 9.427e+5
3.166e+1 2.892e+3
3.167e+1 2.482e+3
3.167e+1 2.129e+3
3.167e+1 1.827e+3
3.167e+1 1.567e+3
3.167e+1 1.345e+3
3.167e+1 1.154e+3
3.167e+1 9.898e+2
3.167e+1 8.493e+2
3.167e+1 7.286e+2
3.167e+1 6.252e+2
3.167e+1 5.364e+2
3.167e+1 4.602e+2
3.167e+1 3.948e+2
3.167e+1 1.385e+6
3.167e+1 1.188e+6
3.169e+1 2.813e+2
3.173e+1 3.272e+2
3.201e+1 3.395e+2
3.224e+1 3.964e+2
3.246e+1 4.592e+2
3.268e+1 5.320e+2
3.290e+1 6.158e+2
3.312e+1 7.103e+2
3.336e+1 8.253e+2
3.356e+1 4.135e+4
3.357e+1 1.405e+6
3.357e+1 1.205e+6
3.357e+1 1.034e+6
3.357e+1 8.871e+5
3.357e+1 7.611e+5
3.357e+1 6.530e+5
3.357e+1 5.603e+5
3.357e+1 4.807e+5
3.357e+1 4.124e+5
3.357e+1 3.538e+5
3.357e+1 3.036e+5
3.357e+1 2.605e+5
3.357e+1 2.235e+5
3.357e+1 1.917e+5
3.359e+1 1.611e+5
3.359e+1 1.382e+5
3.359e+1 1.186e+5
3.359e+1 1.017e+5
3.359e+1 8.730e+4
3.359e+1 7.490e+4
3.359e+1 6.426e+4
3.359e+1 5.513e+4
3.359e+1 4.686e+4
3.362e+1 9.589e+2
3.363e+1 1.047e+3
3.363e+1 3.472e+4
3.363e+1 2.979e+4
3.363e+1 2.555e+4
3.363e+1 2.193e+4
3.363e+1 1.881e+4
3.363e+1 1.614e+4
3.364e+1 1.372e+4
3.364e+1 1.177e+4
3.364e+1 1.010e+4
3.364e+1 8.665e+3
3.364e+1 7.435e+3
3.364e+1 6.379e+3
3.364e+1 5.473e+3
3.364e+1 4.695e+3
3.364e+1 4.029e+3
3.364e+1 3.456e+3
3.364e+1 2.965e+3
3.364e+1 2.544e+3
3.364e+1 2.183e+3
3.364e+1 1.873e+3
3.364e+1 1.607e+3
3.364e+1 1.379e+3
3.364e+1 1.183e+3
3.385e+1 3.270e+4
3.385e+1 2.806e+4
3.385e+1 2.407e+4
3.386e+1 1.127e+3
3.386e+1 2.044e+4
3.386e+1 1.754e+4
3.386e+1 1.505e+4
3.386e+1 1.291e+4
3.386e+1 1.108e+4
3.393e+1 9.558e+3
3.393e+1 8.201e+3
3.393e+1 7.036e+3
3.393e+1 6.037e+3
3.393e+1 5.179e+3
3.393e+1 4.444e+3
3.393e+1 3.813e+3
3.393e+1 3.271e+3
3.394e+1 2.806e+3
3.394e+1 2.408e+3
3.394e+1 2.066e+3
3.394e+1 1.772e+3
3.394e+1 1.521e+3
3.397e+1 1.255e+3
3.425e+1 1.409e+3
3.454e+1 1.649e+3
3.484e+1 1.922e+3
3.515e+1 2.222e+3
3.545e+1 2.541e+3
3.575e+1 2.874e+3
3.605e+1 3.212e+3
3.636e+1 3.550e+3
3.666e+1 3.877e+3
3.696e+1 4.193e+3
3.726e+1 4.484e+3
3.757e+1 4.741e+3
3.787e+1 4.959e+3
3.817e+1 5.128e+3
3.847e+1 5.260e+3
3.878e+1 5.340e+3
3.908e+1 5.350e+3
3.938e+1 5.350e+3
3.969e+1 5.327e+3
3.999e+1 5.243e+3
4.029e+1 5.135e+3
4.059e+1 5.003e+3
4.090e+1 4.856e+3
4.120e+1 4.720e+3
4.150e+1 4.536e+3
4.180e+1 4.369e+3
4.211e+1 4.204e+3
4.241e+1 4.045e+3
4.271e+1 3.879e+3
4.301e+1 3.720e+3
4.332e+1 3.568e+3
4.362e+1 3.403e+3
4.392e+1 3.241e+3
4.423e+1 3.077e+3
4.453e+1 2.908e+3
4.483e+1 2.733e+3
4.513e+1 2.554e+3
4.544e+1 2.383e+3
4.574e+1 2.190e+3
4.604e+1 2.004e+3
4.635e+1 1.822e+3
4.665e+1 1.643e+3
4.695e+1 1.467e+3
4.725e+1 1.300e+3
4.756e+1 1.139e+3
4.786e+1 9.915e+2
4.816e+1 8.512e+2
4.845e+1 7.329e+2
4.873e+1 6.345e+2
