E_γ[eV]  opacity[cm^2/g]
8.526e-2 1.158e+2
8.907e-2 1.170e+1
9.110e-2 9.057e+0
9.325e-2 3.433e+2
9.342e-2 2.946e+2
9.358e-2 2.527e+2
9.392e-2 1.860e+2
9.408e-2 1.596e+2
9.425e-2 1.369e+2
9.490e-2 7.588e+1
9.506e-2 6.510e+1
9.523e-2 5.586e+1
9.540e-2 4.792e+1
9.556e-2 4.112e+1
9.573e-2 3.528e+1
9.590e-2 3.027e+1
9.606e-2 2.597e+1
9.623e-2 2.228e+1
9.640e-2 1.912e+1
9.657e-2 1.640e+1
9.673e-2 1.407e+1
1.050e-1 9.305e+1
1.065e-1 5.351e+2
1.067e-1 4.591e+2
1.068e-1 3.980e+2
1.075e-1 2.180e+2
1.125e-1 6.650e+2
1.496e-1 1.056e+2
1.521e-1 1.061e+1
2.476e-1 8.471e+2
4.839e-1 6.329e+2
5.048e-1 9.750e+2
5.055e-1 5.436e+2
5.072e-1 7.788e+2
5.309e-1 3.674e+3
5.311e-1 3.152e+3
5.312e-1 2.704e+3
5.314e-1 2.320e+3
5.316e-1 1.991e+3
5.317e-1 1.708e+3
5.319e-1 1.465e+3
5.321e-1 1.257e+3
5.322e-1 1.079e+3
5.469e-1 4.776e+2
5.658e-1 7.990e+3
5.853e-1 6.717e+3
5.992e-1 5.780e+3
6.181e-1 5.006e+3
6.194e-1 4.275e+3
7.921e-1 4.590e+3
8.244e-1 3.830e+3
8.681e-1 3.185e+3
9.532e-1 2.598e+3
1.061e+0 2.130e+3
1.132e+0 1.754e+3
1.325e+0 1.487e+3
1.417e+0 1.233e+3
1.488e+0 1.015e+3
1.495e+0 2.058e+3
1.502e+0 1.781e+3
1.522e+0 1.479e+3
1.530e+0 8.037e+2
1.560e+0 2.646e+3
1.879e+0 2.973e+3
2.182e+0 2.970e+3
2.485e+0 2.855e+3
2.788e+0 2.650e+3
3.090e+0 2.486e+3
3.324e+0 2.228e+3
3.751e+0 1.937e+3
4.026e+0 1.662e+3
4.329e+0 1.449e+3
4.632e+0 1.257e+3
4.935e+0 1.102e+3
5.238e+0 9.704e+2
5.540e+0 8.709e+2
5.843e+0 7.712e+2
6.146e+0 6.934e+2
6.449e+0 6.310e+2
6.751e+0 5.815e+2
7.066e+0 5.210e+2
7.255e+0 4.980e+2
7.302e+0 4.581e+2
7.357e+0 5.912e+2
7.660e+0 5.383e+2
7.962e+0 4.886e+2
8.265e+0 4.460e+2
8.568e+0 4.111e+2
8.871e+0 3.781e+2
9.173e+0 3.480e+2
9.476e+0 3.201e+2
9.779e+0 2.946e+2
1.008e+1 2.733e+2
1.038e+1 2.552e+2
1.069e+1 2.390e+2
1.099e+1 2.242e+2
1.129e+1 2.105e+2
1.160e+1 1.975e+2
1.190e+1 1.854e+2
1.220e+1 1.741e+2
1.250e+1 1.642e+2
1.281e+1 1.557e+2
1.311e+1 1.480e+2
1.341e+1 1.410e+2
1.371e+1 1.346e+2
1.402e+1 1.283e+2
1.434e+1 1.260e+2
1.445e+1 4.894e+3
1.445e+1 4.199e+3
1.445e+1 3.603e+3
1.445e+1 3.091e+3
1.445e+1 2.652e+3
1.445e+1 2.275e+3
1.445e+1 1.952e+3
1.445e+1 1.675e+3
1.445e+1 1.437e+3
