E_γ[eV]  opacity[cm^2/g]
8.168e-2 1.031e+4
8.937e-2 1.204e+4
1.091e-1 1.489e+4
1.233e-1 1.829e+4
1.327e-1 2.236e+4
1.592e-1 2.800e+4
1.904e-1 3.407e+4
2.187e-1 4.140e+4
2.392e-1 4.961e+4
2.955e-1 6.050e+4
3.507e-1 7.416e+4
5.452e-1 8.118e+4
7.295e-1 6.659e+4
8.424e-1 5.418e+4
9.271e-1 4.590e+4
1.010e+0 3.915e+4
1.093e+0 3.340e+4
1.175e+0 2.875e+4
1.258e+0 2.481e+4
1.343e+0 2.132e+4
1.462e+0 1.789e+4
1.575e+0 1.496e+4
1.685e+0 1.275e+4
1.799e+0 1.087e+4
1.933e+0 9.197e+3
2.081e+0 7.709e+3
2.222e+0 6.534e+3
2.364e+0 5.600e+3
2.553e+0 4.786e+3
2.708e+0 4.098e+3
2.884e+0 3.523e+3
3.049e+0 3.058e+3
3.228e+0 2.635e+3
3.421e+0 2.256e+3
3.627e+0 1.939e+3
3.847e+0 1.657e+3
4.068e+0 1.424e+3
4.302e+0 1.225e+3
4.550e+0 1.050e+3
4.797e+0 9.056e+2
5.059e+0 7.814e+2
5.334e+0 6.732e+2
5.623e+0 5.804e+2
5.926e+0 5.008e+2
6.229e+0 4.330e+2
6.532e+0 3.774e+2
6.835e+0 3.310e+2
7.137e+0 2.917e+2
7.440e+0 2.585e+2
7.743e+0 2.300e+2
8.046e+0 2.053e+2
8.349e+0 1.839e+2
8.651e+0 1.653e+2
8.954e+0 1.493e+2
9.257e+0 1.353e+2
9.560e+0 1.229e+2
9.862e+0 1.119e+2
1.017e+1 1.021e+2
1.047e+1 9.358e+1
1.077e+1 8.591e+1
1.107e+1 7.898e+1
1.138e+1 7.274e+1
1.168e+1 6.729e+1
1.198e+1 6.229e+1
1.228e+1 5.773e+1
1.259e+1 5.365e+1
1.289e+1 4.991e+1
1.319e+1 4.649e+1
1.350e+1 4.339e+1
1.380e+1 4.058e+1
1.410e+1 3.799e+1
1.440e+1 3.564e+1
1.471e+1 3.343e+1
1.501e+1 3.142e+1
1.531e+1 2.957e+1
1.561e+1 2.788e+1
1.592e+1 2.627e+1
1.622e+1 2.481e+1
1.652e+1 2.345e+1
1.683e+1 2.218e+1
1.713e+1 2.101e+1
1.743e+1 1.991e+1
1.773e+1 1.889e+1
1.804e+1 1.793e+1
1.834e+1 1.705e+1
1.864e+1 1.622e+1
1.894e+1 1.543e+1
1.925e+1 1.470e+1
1.955e+1 1.401e+1
1.985e+1 1.337e+1
2.016e+1 1.277e+1
2.046e+1 1.220e+1
2.076e+1 1.165e+1
2.106e+1 1.115e+1
2.137e+1 1.068e+1
2.167e+1 1.023e+1
2.197e+1 9.804e+0
2.227e+1 9.403e+0
2.258e+1 9.018e+0
2.288e+1 8.660e+0
2.318e+1 8.316e+0
2.349e+1 7.996e+0
2.379e+1 7.684e+0
2.409e+1 7.388e+0
2.439e+1 7.108e+0
2.470e+1 6.848e+0
2.500e+1 6.592e+0
2.530e+1 6.355e+0
2.560e+1 6.126e+0
2.591e+1 5.909e+0
2.621e+1 5.699e+0
2.651e+1 5.504e+0
2.682e+1 5.316e+0
2.712e+1 5.137e+0
2.742e+1 4.965e+0
2.772e+1 4.795e+0
2.803e+1 4.642e+0
2.833e+1 4.489e+0
2.863e+1 4.344e+0
2.893e+1 4.206e+0
2.924e+1 4.072e+0
2.954e+1 3.948e+0
2.984e+1 3.822e+0
3.015e+1 3.706e+0
3.045e+1 3.595e+0
3.075e+1 3.485e+0
3.105e+1 3.381e+0
3.136e+1 3.284e+0
3.166e+1 3.189e+0
3.196e+1 3.094e+0
3.226e+1 3.005e+0
3.257e+1 2.923e+0
3.287e+1 2.839e+0
3.317e+1 2.766e+0
3.347e+1 2.692e+0
3.378e+1 2.610e+0
3.408e+1 2.540e+0
3.438e+1 2.470e+0
3.469e+1 2.402e+0
3.499e+1 2.340e+0
3.529e+1 2.279e+0
3.559e+1 2.218e+0
3.590e+1 2.161e+0
3.620e+1 2.107e+0
3.650e+1 2.054e+0
3.680e+1 2.000e+0
3.711e+1 1.950e+0
3.741e+1 1.903e+0
3.771e+1 1.855e+0
3.802e+1 1.810e+0
3.832e+1 1.766e+0
3.862e+1 1.723e+0
3.892e+1 1.681e+0
3.923e+1 1.642e+0
3.953e+1 1.604e+0
3.982e+1 1.566e+0
4.019e+1 1.523e+0
4.049e+1 1.488e+0
4.079e+1 1.455e+0
4.110e+1 1.420e+0
4.140e+1 1.390e+0
4.170e+1 1.358e+0
4.201e+1 1.329e+0
4.231e+1 1.300e+0
4.261e+1 1.279e+0
4.291e+1 1.244e+0
4.322e+1 1.216e+0
4.352e+1 1.191e+0
4.382e+1 1.164e+0
4.412e+1 1.141e+0
4.443e+1 1.117e+0
4.473e+1 1.093e+0
4.504e+1 1.070e+0
4.534e+1 1.058e+0
4.564e+1 1.046e+0
4.590e+1 1.018e+0
