# Assuming L=50 μm, ε=1-exp(-κ ρ L), Ar, ni=6.2e20 1/cc
Eγ[eV]    ε
1.0287e-1 5.7321e-1
1.0811e-1 6.2030e-1
1.1361e-1 6.5790e-1
1.1940e-1 6.9578e-1
1.2548e-1 7.3162e-1
1.3187e-1 7.6492e-1
1.3859e-1 7.9514e-1
1.4564e-1 8.2538e-1
1.5306e-1 8.5064e-1
1.6086e-1 8.6542e-1
1.6905e-1 8.7919e-1
1.7766e-1 8.9446e-1
1.8670e-1 9.0740e-1
1.9621e-1 9.1000e-1
2.0620e-1 9.2714e-1
2.1670e-1 9.2981e-1
2.2774e-1 9.3248e-1
2.3934e-1 9.5826e-1
2.5152e-1 9.3651e-1
2.6433e-1 9.6102e-1
2.7779e-1 9.3651e-1
2.9194e-1 9.6517e-1
3.0681e-1 9.4461e-1
3.2243e-1 9.5689e-1
3.3885e-1 9.5278e-1
3.5611e-1 9.4461e-1
3.7424e-1 9.6517e-1
3.9330e-1 9.3651e-1
4.1333e-1 9.7351e-1
4.3437e-1 9.3651e-1
4.5650e-1 9.6240e-1
4.7974e-1 9.4055e-1
5.0417e-1 9.5278e-1
5.2985e-1 9.4461e-1
5.5683e-1 9.3651e-1
5.8518e-1 9.2848e-1
6.1498e-1 9.2051e-1
6.4630e-1 9.1000e-1
6.7921e-1 8.9703e-1
7.1379e-1 8.7541e-1
7.5014e-1 8.5186e-1
7.8834e-1 8.2894e-1
8.2848e-1 8.0202e-1
8.7067e-1 7.7709e-1
9.1500e-1 7.5185e-1
9.6160e-1 7.5077e-1
1.0106e+0 7.3584e-1
1.0620e+0 7.2016e-1
1.1161e+0 7.0381e-1
1.1729e+0 6.8586e-1
1.2327e+0 6.7609e-1
1.2954e+0 6.6264e-1
1.3614e+0 6.5695e-1
1.4307e+0 6.4481e-1
1.5036e+0 6.4112e-1
1.5802e+0 6.4112e-1
1.6606e+0 6.3653e-1
1.7452e+0 6.8096e-1
1.8341e+0 6.6074e-1
1.9275e+0 6.4112e-1
2.0256e+0 6.1941e-1
2.1287e+0 5.9586e-1
2.2371e+0 5.7321e-1
2.3511e+0 5.4984e-1
2.4708e+0 5.2440e-1
2.5966e+0 5.0158e-1
2.7288e+0 5.0014e-1
2.8677e+0 4.7837e-1
3.0138e+0 4.5624e-1
3.1672e+0 4.3389e-1
3.3285e+0 4.1144e-1
3.4980e+0 3.9016e-1
3.6761e+0 3.6786e-1
3.8633e+0 3.4734e-1
4.0600e+0 3.2702e-1
4.2667e+0 3.1010e-1
4.4839e+0 2.9070e-1
4.7123e+0 2.7174e-1
4.9522e+0 2.5292e-1
5.2043e+0 2.3507e-1
5.4693e+0 2.1847e-1
5.7478e+0 2.0276e-1
6.0404e+0 1.8764e-1
6.3480e+0 1.7314e-1
6.6712e+0 1.5908e-1
7.0109e+0 1.4701e-1
7.3678e+0 1.3488e-1
7.7430e+0 1.2357e-1
8.1372e+0 1.1321e-1
8.5515e+0 1.0313e-1
8.9869e+0 9.4344e-2
9.4445e+0 8.6063e-2
9.8139e+0 8.0039e-2
