E_γ[eV]  opacity[cm^2/g]
1.0127e-1 4.6343e+4
1.0303e-1 4.4796e+4
1.0479e-1 4.1196e+4
1.0666e-1 3.6953e+4
1.0774e-1 3.2748e+4
1.0911e-1 3.0946e+4
1.0994e-1 2.8372e+4
1.1148e-1 2.5225e+4
1.1317e-1 2.3351e+4
1.1381e-1 2.1949e+4
1.1575e-1 2.0446e+4
1.1782e-1 1.9161e+4
1.1987e-1 1.8175e+4
1.2197e-1 1.7702e+4
1.2409e-1 1.7636e+4
1.2626e-1 1.7637e+4
1.2846e-1 1.7439e+4
1.3070e-1 1.7374e+4
1.3299e-1 1.6986e+4
1.3531e-1 1.6357e+4
1.3767e-1 1.5751e+4
1.4007e-1 1.5283e+4
1.4251e-1 1.4942e+4
1.4500e-1 1.5343e+4
1.4753e-1 1.6422e+4
1.4997e-1 1.7759e+4
1.5207e-1 2.0522e+4
1.5399e-1 2.3653e+4
1.5539e-1 2.7139e+4
1.5674e-1 3.0857e+4
1.5810e-1 3.5350e+4
1.5948e-1 4.0498e+4
1.6086e-1 4.6396e+4
1.6233e-1 5.2992e+4
1.6453e-1 6.0110e+4
1.6725e-1 6.5425e+4
1.7009e-1 6.0715e+4
1.7172e-1 5.3969e+4
1.7381e-1 4.7828e+4
1.7540e-1 4.2546e+4
1.7692e-1 3.7847e+4
1.7846e-1 3.3540e+4
1.8001e-1 2.9949e+4
1.8157e-1 2.7047e+4
1.8315e-1 2.4060e+4
1.8482e-1 2.1419e+4
1.8715e-1 1.8754e+4
1.8960e-1 1.6247e+4
1.9207e-1 1.4435e+4
1.9458e-1 1.3102e+4
1.9798e-1 1.1833e+4
2.0143e-1 1.0808e+4
2.0495e-1 1.0175e+4
2.0852e-1 9.7245e+3
2.1216e-1 9.5430e+3
2.1586e-1 9.5796e+3
2.1963e-1 9.9862e+3
2.2346e-1 1.0569e+4
2.2736e-1 1.1017e+4
2.3133e-1 1.0935e+4
2.3537e-1 1.0102e+4
2.3937e-1 9.0612e+3
2.4365e-1 8.6211e+3
2.4791e-1 8.7857e+3
2.5234e-1 9.4254e+3
2.5541e-1 1.0508e+4
2.5775e-1 1.2021e+4
2.5998e-1 1.3616e+4
2.6224e-1 1.5423e+4
2.6464e-1 1.7300e+4
2.6798e-1 1.8912e+4
2.7265e-1 1.8560e+4
2.7741e-1 1.8631e+4
2.8225e-1 1.9792e+4
2.8718e-1 1.9943e+4
2.9124e-1 1.7875e+4
2.9358e-1 1.5949e+4
2.9729e-1 1.4127e+4
3.0248e-1 1.3316e+4
3.0815e-1 1.3673e+4
3.1283e-1 1.5231e+4
3.1721e-1 1.7991e+4
3.1859e-1 2.1031e+4
3.2150e-1 2.3768e+4
3.2275e-1 2.7291e+4
3.2415e-1 3.0796e+4
3.2555e-1 3.4751e+4
3.2696e-1 3.9512e+4
3.2838e-1 4.4925e+4
3.2980e-1 5.0887e+4
3.3281e-1 5.7598e+4
3.3738e-1 5.6565e+4
3.3994e-1 4.9377e+4
3.4142e-1 4.3428e+4
3.4290e-1 3.8486e+4
3.4587e-1 3.2188e+4
3.4737e-1 2.7502e+4
3.5039e-1 2.3205e+4
3.5328e-1 1.9184e+4
3.5535e-1 1.6646e+4
3.5805e-1 1.4348e+4
3.6257e-1 1.2269e+4
3.6588e-1 1.0783e+4
3.6922e-1 9.6650e+3
3.7388e-1 8.6520e+3
3.7860e-1 7.9665e+3
3.8537e-1 7.5339e+3
3.9226e-1 7.8478e+3
3.9721e-1 8.8962e+3
4.0067e-1 1.0425e+4
4.0415e-1 1.2217e+4
4.0783e-1 1.4447e+4
4.1298e-1 1.6035e+4
4.1819e-1 1.7904e+4
4.2549e-1 1.7690e+4
4.2937e-1 1.5618e+4
4.3105e-1 1.3768e+4
4.3479e-1 1.1802e+4
4.3734e-1 1.0271e+4
4.4130e-1 9.0795e+3
4.4777e-1 8.3898e+3
4.4997e-1 7.6708e+3
4.5421e-1 6.8840e+3
4.5598e-1 6.0730e+3
4.6193e-1 5.2694e+3
4.6615e-1 4.7372e+3
4.7428e-1 4.6488e+3
4.8186e-1 5.0011e+3
4.8675e-1 5.9349e+3
4.9119e-1 6.8957e+3
4.9311e-1 7.9778e+3
4.9525e-1 9.1395e+3
4.9804e-1 1.0399e+4
5.0498e-1 1.0172e+4
5.0542e-1 8.8613e+3
5.0827e-1 7.6538e+3
5.1047e-1 6.6058e+3
5.1268e-1 5.7446e+3
5.1490e-1 4.9956e+3
5.1714e-1 4.4271e+3
5.1938e-1 3.9680e+3
5.2389e-1 3.4463e+3
5.2867e-1 2.9603e+3
5.3766e-1 2.7203e+3
5.4704e-1 2.5226e+3
5.5683e-1 2.5075e+3
5.6264e-1 2.5611e+3
5.6386e-1 2.9787e+3
5.6876e-1 3.6433e+3
5.7370e-1 4.3345e+3
5.7952e-1 5.1052e+3
5.8371e-1 5.9451e+3
5.8963e-1 6.7341e+3
5.9992e-1 7.0643e+3
6.0688e-1 6.7346e+3
6.0977e-1 6.0044e+3
6.2015e-1 6.1981e+3
6.3097e-1 6.2218e+3
6.4106e-1 6.4210e+3
6.4337e-1 7.1551e+3
6.4756e-1 8.1149e+3
6.4896e-1 1.0922e+4
6.5065e-1 9.8259e+3
6.5379e-1 1.2378e+4
6.5573e-1 1.5227e+4
6.6171e-1 1.7576e+4
6.7414e-1 1.7131e+4
6.8501e-1 1.7314e+4
6.8798e-1 1.5114e+4
6.9096e-1 1.3094e+4
6.9396e-1 1.1258e+4
6.9696e-1 1.0053e+4
7.0454e-1 9.7294e+3
7.0978e-1 1.1480e+4
