E_γ[eV]  opacity[cm^2/g]
1.029e-1 1.146e+0
1.079e-1 1.420e+0
1.131e-1 1.702e+0
1.186e-1 1.992e+0
1.244e-1 2.323e+0
1.305e-1 2.724e+0
1.368e-1 3.224e+0
1.435e-1 3.843e+0
1.505e-1 4.612e+0
1.578e-1 5.558e+0
1.655e-1 6.753e+0
1.736e-1 8.239e+0
1.820e-1 1.011e+1
1.909e-1 1.245e+1
2.002e-1 1.536e+1
2.087e-1 1.854e+1
2.202e-1 2.359e+1
2.309e-1 2.910e+1
2.422e-1 3.565e+1
2.540e-1 4.349e+1
2.663e-1 5.285e+1
2.793e-1 6.421e+1
2.929e-1 7.466e+1
3.072e-1 8.378e+1
3.222e-1 9.375e+1
3.379e-1 1.048e+2
3.543e-1 1.166e+2
3.716e-1 1.299e+2
3.897e-1 1.456e+2
4.087e-1 1.636e+2
4.286e-1 1.821e+2
4.494e-1 2.001e+2
4.713e-1 2.200e+2
4.943e-1 2.428e+2
5.191e-1 2.720e+2
5.436e-1 3.036e+2
5.701e-1 3.426e+2
5.979e-1 3.913e+2
6.270e-1 4.482e+2
6.576e-1 5.155e+2
6.896e-1 5.809e+2
7.232e-1 6.473e+2
7.584e-1 7.155e+2
7.954e-1 7.940e+2
8.341e-1 8.873e+2
8.748e-1 9.998e+2
9.174e-1 1.133e+3
9.621e-1 1.294e+3
1.009e+0 1.482e+3
1.058e+0 1.681e+3
1.110e+0 1.881e+3
1.164e+0 2.068e+3
1.220e+0 2.215e+3
1.274e+0 2.332e+3
1.342e+0 2.561e+3
1.408e+0 2.709e+3
1.476e+0 2.897e+3
1.548e+0 3.052e+3
1.623e+0 3.159e+3
1.703e+0 3.163e+3
1.785e+0 3.163e+3
1.872e+0 3.141e+3
1.964e+0 3.068e+3
2.059e+0 3.006e+3
2.160e+0 2.920e+3
2.265e+0 2.825e+3
2.375e+0 2.700e+3
2.491e+0 2.584e+3
2.612e+0 2.449e+3
2.740e+0 2.318e+3
2.873e+0 2.186e+3
3.013e+0 2.052e+3
3.160e+0 1.921e+3
3.314e+0 1.796e+3
3.475e+0 1.677e+3
3.644e+0 1.563e+3
3.822e+0 1.452e+3
4.008e+0 1.352e+3
4.203e+0 1.255e+3
4.408e+0 1.165e+3
4.623e+0 1.082e+3
4.848e+0 1.003e+3
5.084e+0 9.304e+2
5.332e+0 8.616e+2
5.592e+0 7.978e+2
5.864e+0 7.398e+2
6.150e+0 6.832e+2
6.449e+0 6.344e+2
6.763e+0 5.850e+2
7.093e+0 5.410e+2
7.439e+0 5.003e+2
7.801e+0 4.607e+2
8.181e+0 4.254e+2
8.579e+0 3.923e+2
8.997e+0 3.618e+2
9.436e+0 3.332e+2
9.810e+0 3.164e+2
