E_γ[eV]  opacity[cm^2/g]
1.0087e-1 6.1485e+1
1.0087e-1 7.0849e+1
1.0088e-1 8.2123e+1
1.0088e-1 9.5191e+1
1.0088e-1 1.1365e+2
1.0088e-1 1.3095e+2
1.0088e-1 1.5090e+2
1.0135e-1 5.2629e+1
1.0143e-1 3.2440e+1
1.0144e-1 3.6888e+1
1.0144e-1 4.4628e+1
1.0191e-1 2.6111e+1
1.0268e-1 2.3477e+1
1.0288e-1 5.8648e+1
1.0317e-1 3.1730e+1
1.0317e-1 3.5920e+1
1.0317e-1 4.4431e+1
1.0317e-1 5.1502e+1
1.0346e-1 2.7053e+1
1.0374e-1 1.1556e+1
1.0374e-1 1.3316e+1
1.0374e-1 1.5344e+1
1.0374e-1 1.7681e+1
1.0375e-1 2.0495e+1
1.0403e-1 9.6797e+0
1.0404e-1 2.3477e+1
1.0432e-1 7.0989e+0
1.0432e-1 8.2042e+0
1.0491e-1 6.2155e+0
1.0580e-1 5.8245e+0
1.0700e-1 7.3551e+0
1.0822e-1 8.6269e+0
1.0863e-1 1.0432e+1
1.0884e-1 1.2853e+1
1.0884e-1 1.4811e+1
1.0884e-1 1.7066e+1
1.0885e-1 1.9665e+1
1.0885e-1 2.2660e+1
1.0885e-1 2.6112e+1
1.0885e-1 3.0088e+1
1.0885e-1 3.4671e+1
1.0917e-1 4.6036e+1
1.0917e-1 5.3047e+1
1.0917e-1 6.1126e+1
1.0917e-1 7.0436e+1
1.0927e-1 3.8560e+1
1.1165e-1 2.0739e+1
1.1176e-1 2.4907e+1
1.1196e-1 1.5165e+1
1.1196e-1 1.7475e+1
1.1227e-1 1.2853e+1
1.1259e-1 1.0894e+1
1.1322e-1 9.0713e+0
1.1354e-1 7.7570e+0
1.1450e-1 6.3833e+0
1.1515e-1 5.1758e+0
1.1745e-1 4.5586e+0
1.1844e-1 3.7624e+0
1.1866e-1 3.0778e+0
1.1933e-1 2.6241e+0
1.2080e-1 2.2942e+0
1.2356e-1 2.1851e+0
1.2638e-1 2.0537e+0
1.2926e-1 1.8466e+0
1.3222e-1 1.6531e+0
1.3524e-1 1.5196e+0
1.3856e-1 1.4903e+0
1.4029e-1 1.8143e+0
1.4069e-1 2.1469e+0
1.4070e-1 2.4739e+0
1.4070e-1 2.8507e+0
1.4070e-1 3.2848e+0
1.4071e-1 3.7851e+0
1.4150e-1 4.3423e+0
1.4151e-1 4.8940e+0
1.4151e-1 5.6394e+0
1.4151e-1 6.4983e+0
1.4153e-1 1.3319e+1
1.4153e-1 1.5348e+1
1.4153e-1 1.7685e+1
1.4153e-1 2.0378e+1
1.4154e-1 2.3482e+1
1.4169e-1 7.9068e+0
1.4192e-1 9.7968e+0
1.4192e-1 1.1289e+1
1.4392e-1 3.2272e+0
1.4392e-1 3.7187e+0
1.4392e-1 4.2850e+0
1.4392e-1 4.9377e+0
1.4393e-1 5.6897e+0
1.4393e-1 6.5562e+0
1.4393e-1 7.5547e+0
1.4432e-1 2.7353e+0
1.4530e-1 2.3293e+0
1.4554e-1 2.1093e+0
1.4912e-1 2.6183e+0
1.5098e-1 2.1218e+0
1.5099e-1 2.5182e+0
1.5127e-1 1.7984e+0
1.5313e-1 1.6679e+0
1.5663e-1 1.7590e+0
1.6021e-1 1.8633e+0
1.6249e-1 2.1726e+0
1.6341e-1 2.6208e+0
1.6388e-1 3.1708e+0
1.6388e-1 3.6537e+0
1.6388e-1 4.2101e+0
1.6389e-1 4.8514e+0
1.6454e-1 5.7510e+0
1.6482e-1 7.0384e+0
1.6483e-1 8.1103e+0
1.6483e-1 9.3455e+0
1.6483e-1 1.0769e+1
1.6484e-1 1.2409e+1
1.6530e-1 1.4555e+1
1.6577e-1 1.6404e+1
1.6578e-1 1.8819e+1
1.6578e-1 2.1685e+1
1.6599e-1 2.6385e+1
1.6846e-1 3.1554e+1
1.6894e-1 3.6900e+1
1.6911e-1 4.6597e+1
1.6930e-1 5.6159e+1
1.6933e-1 2.3381e+1
1.6958e-1 4.2899e+1
1.6973e-1 2.7383e+1
1.7081e-1 1.8919e+1
1.7102e-1 3.2308e+1
1.7102e-1 3.7229e+1
1.7148e-1 1.3559e+1
1.7149e-1 1.5624e+1
1.7196e-1 1.1424e+1
1.7245e-1 9.6830e+0
1.7342e-1 8.1106e+0
1.7424e-1 7.4669e+0
1.7688e-1 9.0206e+0
1.8042e-1 9.5132e+0
1.8402e-1 9.9442e+0
1.8674e-1 1.0924e+1
1.8893e-1 9.1282e+0
1.8928e-1 8.0395e+0
1.8963e-1 6.0014e+0
1.8982e-1 7.0391e+0
1.9106e-1 5.1168e+0
1.9142e-1 4.2606e+0
1.9195e-1 3.6218e+0
1.9402e-1 3.1044e+0
1.9857e-1 3.2711e+0
2.0311e-1 3.8367e+0
2.0484e-1 4.3370e+0
2.0717e-1 5.0495e+0
2.0835e-1 6.1817e+0
2.0894e-1 7.1654e+0
2.0895e-1 8.2566e+0
2.1013e-1 9.5564e+0
2.1014e-1 1.0866e+1
2.1014e-1 1.3012e+1
2.1074e-1 1.5626e+1
2.1403e-1 1.1359e+1
2.1535e-1 1.3561e+1
2.1801e-1 1.7150e+1
2.1925e-1 2.0872e+1
2.2049e-1 2.4626e+1
2.2175e-1 2.9400e+1
2.2301e-1 3.4893e+1
2.2428e-1 4.1413e+1
2.2555e-1 4.9150e+1
2.2619e-1 5.6971e+1
2.2812e-1 6.8622e+1
2.2942e-1 8.4631e+1
2.3073e-1 1.0044e+2
2.3204e-1 1.1851e+2
2.3336e-1 1.3982e+2
2.3468e-1 1.6595e+2
2.3602e-1 1.9695e+2
2.3736e-1 2.3238e+2
2.3871e-1 2.7417e+2
2.4007e-1 3.2348e+2
2.4143e-1 3.8166e+2
2.4280e-1 4.4765e+2
2.4419e-1 5.2196e+2
2.4557e-1 6.0146e+2
2.4697e-1 6.9306e+2
2.4837e-1 7.9862e+2
2.4908e-1 9.0409e+2
2.5120e-1 1.1484e+3
2.5407e-1 1.4332e+3
2.5551e-1 1.7111e+3
2.5842e-1 2.1165e+3
2.5989e-1 2.5119e+3
2.6285e-1 3.0436e+3
2.6584e-1 3.7536e+3
2.6735e-1 4.3509e+3
2.7039e-1 5.1792e+3
2.7347e-1 6.1833e+3
2.7658e-1 7.2525e+3
2.7920e-1 8.2833e+3
2.8291e-1 9.7732e+3
2.8613e-1 1.1328e+4
2.9103e-1 1.3054e+4
2.9684e-1 1.4669e+4
3.0363e-1 1.5677e+4
3.1056e-1 1.5608e+4
3.1765e-1 1.4541e+4
3.2399e-1 1.3055e+4
3.2952e-1 1.1397e+4
3.3514e-1 9.8322e+3
3.4086e-1 8.3335e+3
3.4408e-1 7.3614e+3
3.4864e-1 6.2949e+3
3.5259e-1 5.4629e+3
3.5861e-1 4.7270e+3
3.6199e-1 4.1756e+3
3.6991e-1 3.8159e+3
3.7837e-1 4.1327e+3
3.8375e-1 4.8259e+3
3.8812e-1 5.7615e+3
3.9254e-1 6.9091e+3
3.9701e-1 8.2487e+3
4.0153e-1 9.6322e+3
4.0609e-1 1.1248e+4
4.1421e-1 1.3369e+4
4.2368e-1 1.4351e+4
4.3335e-1 1.3370e+4
4.4199e-1 1.1466e+4
4.4449e-1 1.0189e+4
4.4953e-1 8.9738e+3
