E_γ[eV]  opacity[cm^2/g]
1.1032e-1 1.0936e-1
1.1032e-1 1.2381e-1
1.1032e-1 1.4266e-1
1.1032e-1 1.6439e-1
1.1033e-1 1.8943e-1
1.1033e-1 2.1827e-1
1.1033e-1 2.5152e-1
1.1033e-1 2.8982e-1
1.1033e-1 3.3396e-1
1.1034e-1 3.8483e-1
1.1034e-1 4.4344e-1
1.1034e-1 5.1097e-1
1.1034e-1 5.8879e-1
1.1034e-1 6.7846e-1
1.1035e-1 7.8179e-1
1.1035e-1 9.0086e-1
1.1035e-1 1.0381e+0
1.1035e-1 1.1962e+0
1.1035e-1 1.3783e+0
1.1036e-1 1.5883e+0
1.1036e-1 1.8301e+0
1.1036e-1 2.1089e+0
1.1036e-1 2.4301e+0
1.1037e-1 2.8002e+0
1.1037e-1 3.2266e+0
1.1037e-1 3.7180e+0
1.1037e-1 4.2843e+0
1.1037e-1 4.9368e+0
1.1038e-1 5.6887e+0
1.1038e-1 6.5550e+0
1.1038e-1 7.5534e+0
1.1038e-1 8.7037e+0
1.1038e-1 1.0029e+1
1.1039e-1 1.1557e+1
1.1039e-1 1.3317e+1
1.1039e-1 1.5345e+1
1.1039e-1 1.7682e+1
1.1039e-1 2.0375e+1
1.1040e-1 2.3478e+1
1.1040e-1 2.7054e+1
1.1040e-1 3.1174e+1
1.1040e-1 3.5922e+1
1.1040e-1 4.1393e+1
1.1041e-1 4.7697e+1
1.1041e-1 5.4961e+1
1.1041e-1 6.3332e+1
1.1041e-1 7.2977e+1
1.1042e-1 8.4092e+1
1.1042e-1 9.6899e+1
1.1042e-1 1.1166e+2
1.1042e-1 1.2866e+2
1.1042e-1 1.4826e+2
1.1043e-1 1.7084e+2
1.1043e-1 1.9686e+2
1.1043e-1 2.2684e+2
1.1043e-1 2.6138e+2
1.1043e-1 3.0119e+2
1.1044e-1 3.4706e+2
1.1044e-1 3.9992e+2
1.1044e-1 4.6083e+2
1.1044e-1 5.3101e+2
1.1107e-1 6.1461e+2
1.1361e-1 5.9849e+2
1.1620e-1 5.7004e+2
1.1886e-1 5.4293e+2
1.2157e-1 5.1256e+2
1.2435e-1 4.8174e+2
1.2719e-1 4.5479e+2
1.3009e-1 4.2556e+2
1.3306e-1 3.9644e+2
1.3610e-1 3.6769e+2
1.3921e-1 3.3801e+2
1.4239e-1 3.1350e+2
1.4564e-1 2.9335e+2
1.4896e-1 2.7449e+2
1.5237e-1 2.5799e+2
1.5585e-1 2.4355e+2
1.5941e-1 2.2993e+2
1.6305e-1 2.1610e+2
1.6677e-1 2.0492e+2
1.7058e-1 1.9866e+2
1.7447e-1 1.8344e+2
1.7846e-1 1.6938e+2
1.8253e-1 1.5780e+2
1.8670e-1 1.4700e+2
1.9097e-1 1.3816e+2
1.9533e-1 1.2986e+2
1.9979e-1 1.2205e+2
2.0474e-1 1.1573e+2
2.0551e-1 1.3817e+2
2.0552e-1 1.5921e+2
2.0552e-1 1.8346e+2
2.0552e-1 2.1140e+2
2.0553e-1 2.4360e+2
2.0553e-1 2.8070e+2
2.0554e-1 3.2345e+2
2.0554e-1 3.7271e+2
2.0554e-1 4.2947e+2
2.0555e-1 4.9488e+2
2.0555e-1 5.7025e+2
2.0556e-1 6.5710e+2
2.0556e-1 7.5718e+2
2.0556e-1 8.7250e+2
2.0557e-1 1.0054e+3
2.0557e-1 1.1585e+3
2.0674e-1 1.3588e+3
2.1146e-1 1.3409e+3
2.1629e-1 1.2942e+3
2.2123e-1 1.2547e+3
