E_γ[eV]  opacity[cm^2/g]
1.0150e-1 4.2592e+3
1.0382e-1 4.3740e+3
1.0619e-1 4.5924e+3
1.0862e-1 4.8005e+3
1.1110e-1 5.0627e+3
1.1364e-1 5.2687e+3
1.1624e-1 5.5811e+3
1.1889e-1 5.8340e+3
1.2161e-1 6.1255e+3
1.2439e-1 6.3747e+3
1.2723e-1 6.6931e+3
1.3014e-1 6.9964e+3
1.3311e-1 7.3134e+3
1.3615e-1 7.6788e+3
1.3927e-1 8.0267e+3
1.4245e-1 8.4276e+3
1.4570e-1 8.7706e+3
1.4903e-1 9.1680e+3
1.5244e-1 9.4569e+3
1.5592e-1 9.7549e+3
1.5949e-1 1.0107e+4
1.6313e-1 1.0379e+4
1.6686e-1 1.0706e+4
1.7067e-1 1.0995e+4
1.7457e-1 1.1291e+4
1.7856e-1 1.1647e+4
1.8264e-1 1.1908e+4
1.8681e-1 1.2283e+4
1.9108e-1 1.2614e+4
1.9545e-1 1.3012e+4
1.9991e-1 1.3363e+4
2.0448e-1 1.3723e+4
2.0915e-1 1.4093e+4
2.1393e-1 1.4472e+4
2.1882e-1 1.4797e+4
2.2382e-1 1.5263e+4
2.2893e-1 1.5536e+4
2.3416e-1 1.5955e+4
2.3952e-1 1.6385e+4
2.4499e-1 1.6752e+4
2.5059e-1 1.7128e+4
2.5631e-1 1.7512e+4
2.6217e-1 1.7825e+4
2.6816e-1 1.8305e+4
2.7429e-1 1.8550e+4
2.8055e-1 1.9050e+4
2.8696e-1 1.9306e+4
2.9352e-1 1.9738e+4
3.0023e-1 1.9826e+4
3.0709e-1 2.0361e+4
3.1410e-1 2.0451e+4
3.2128e-1 2.0725e+4
3.2862e-1 2.1190e+4
3.3613e-1 2.1190e+4
3.4381e-1 2.1190e+4
3.5166e-1 2.1191e+4
3.5969e-1 2.1191e+4
3.6791e-1 2.1191e+4
3.7632e-1 2.1192e+4
3.8491e-1 2.1192e+4
3.9371e-1 2.1192e+4
4.0270e-1 2.1193e+4
4.1190e-1 2.1193e+4
4.2131e-1 2.1006e+4
4.3094e-1 2.0456e+4
4.4078e-1 2.0456e+4
4.5085e-1 2.0008e+4
4.6115e-1 1.9744e+4
4.7168e-1 1.9312e+4
4.8246e-1 1.9057e+4
4.9348e-1 1.8476e+4
5.0475e-1 1.8232e+4
5.1628e-1 1.7676e+4
5.2808e-1 1.7212e+4
5.4014e-1 1.6687e+4
5.5248e-1 1.6249e+4
5.6509e-1 1.5684e+4
5.7800e-1 1.5205e+4
5.9120e-1 1.4676e+4
6.0471e-1 1.4165e+4
6.1852e-1 1.3672e+4
6.3265e-1 1.3138e+4
6.4710e-1 1.2625e+4
6.6188e-1 1.2185e+4
6.7700e-1 1.1709e+4
6.9246e-1 1.1202e+4
7.0827e-1 1.0669e+4
7.2445e-1 1.0298e+4
7.4100e-1 9.8519e+3
7.5792e-1 9.3835e+3
7.7523e-1 8.9373e+3
7.9294e-1 8.5502e+3
8.1105e-1 8.1798e+3
8.2957e-1 7.7564e+3
8.4852e-1 7.4204e+3
8.6790e-1 7.0676e+3
8.8772e-1 6.7316e+3
9.0800e-1 6.4400e+3
9.2874e-1 6.1338e+3
9.4995e-1 5.8421e+3
9.7164e-1 5.5153e+3
9.9384e-1 5.2530e+3
1.0165e+0 5.0255e+3
1.0398e+0 4.7233e+3
1.0635e+0 4.5187e+3
1.0878e+0 4.3039e+3
1.1126e+0 4.0631e+3
1.1380e+0 3.8699e+3
1.1640e+0 3.6696e+3
1.1906e+0 3.4797e+3
1.2178e+0 3.2850e+3
1.2456e+0 3.1288e+3
1.2741e+0 2.9537e+3
1.3032e+0 2.8009e+3
1.3329e+0 2.6559e+3
1.3634e+0 2.5073e+3
1.3945e+0 2.3881e+3
1.4264e+0 2.2445e+3
1.4589e+0 2.1283e+3
1.4923e+0 2.0182e+3
1.5263e+0 1.9053e+3
1.5612e+0 1.7987e+3
1.5969e+0 1.6980e+3
1.6333e+0 1.6101e+3
1.6706e+0 1.5201e+3
1.7088e+0 1.4350e+3
1.7478e+0 1.3547e+3
1.7877e+0 1.2789e+3
1.8286e+0 1.2127e+3
1.8703e+0 1.1398e+3
1.9130e+0 1.0761e+3
1.9567e+0 1.0159e+3
2.0014e+0 9.5902e+2
2.0471e+0 9.0136e+2
2.0939e+0 8.5093e+2
2.1417e+0 8.0332e+2
2.1906e+0 7.5169e+2
2.2406e+0 7.1278e+2
2.2918e+0 6.6993e+2
2.3441e+0 6.2965e+2
2.3977e+0 5.9706e+2
2.4524e+0 5.5868e+2
2.5084e+0 5.2509e+2
2.5657e+0 4.9353e+2
2.6243e+0 4.6591e+2
2.6842e+0 4.3597e+2
2.7456e+0 4.1157e+2
2.8083e+0 3.8683e+2
2.8724e+0 3.6357e+2
2.9380e+0 3.4020e+2
3.0051e+0 3.2117e+2
3.0737e+0 2.9920e+2
3.1439e+0 2.8371e+2
3.2157e+0 2.6430e+2
3.2891e+0 2.4952e+2
3.3643e+0 2.3348e+2
3.4411e+0 2.1750e+2
3.5197e+0 2.0534e+2
3.6001e+0 1.9214e+2
3.6823e+0 1.7979e+2
3.7664e+0 1.6898e+2
3.8524e+0 1.5812e+2
3.9404e+0 1.4730e+2
4.0303e+0 1.3906e+2
4.1224e+0 1.3012e+2
4.2165e+0 1.2122e+2
4.3128e+0 1.1293e+2
4.4113e+0 1.0661e+2
4.5121e+0 9.9756e+1
4.6151e+0 9.2931e+1
4.7205e+0 8.6573e+1
4.8283e+0 8.1009e+1
4.9386e+0 7.6476e+1
5.0513e+0 7.1245e+1
5.1667e+0 6.6371e+1
5.2847e+0 6.1830e+1
5.4054e+0 5.7600e+1
5.5288e+0 5.3660e+1
5.6551e+0 5.0211e+1
5.7842e+0 4.7401e+1
5.9163e+0 4.4158e+1
6.0514e+0 4.1137e+1
6.1896e+0 3.8323e+1
6.3309e+0 3.5701e+1
6.4755e+0 3.3259e+1
6.6234e+0 3.0984e+1
6.7747e+0 2.8864e+1
6.9294e+0 2.6889e+1
7.0876e+0 2.5050e+1
7.2495e+0 2.3336e+1
7.4150e+0 2.1740e+1
7.5843e+0 2.0252e+1
7.7575e+0 1.8867e+1
7.9347e+0 1.7654e+1
8.1159e+0 1.6374e+1
8.3012e+0 1.5321e+1
8.4908e+0 1.4273e+1
8.6847e+0 1.3238e+1
8.8830e+0 1.2387e+1
9.0859e+0 1.1489e+1
9.2934e+0 1.0750e+1
9.5056e+0 9.9264e+0
9.7227e+0 9.3296e+0
9.8887e+0 8.7299e+0
