E_γ[eV]  opacity[cm^2/g]
1.1048e-1 5.5073e+3
1.1300e-1 5.8338e+3
1.1558e-1 6.0444e+3
1.1822e-1 6.3183e+3
1.2093e-1 6.5463e+3
1.2369e-1 6.8429e+3
1.2652e-1 7.1530e+3
1.2941e-1 7.4440e+3
1.3236e-1 7.7127e+3
1.3539e-1 8.0980e+3
1.3848e-1 8.4275e+3
1.4165e-1 8.8094e+3
1.4571e-1 9.2905e+3
1.4889e-1 9.6543e+3
1.5158e-1 9.8852e+3
1.5548e-1 1.0242e+4
1.5949e-1 1.0612e+4
1.6405e-1 1.0995e+4
1.6875e-1 1.1392e+4
1.7359e-1 1.1803e+4
1.7906e-1 1.2229e+4
1.8419e-1 1.2670e+4
2.0681e-1 1.5262e+4
2.1153e-1 1.5604e+4
2.1636e-1 1.5954e+4
2.2131e-1 1.6312e+4
2.2636e-1 1.6604e+4
2.3154e-1 1.7127e+4
2.3683e-1 1.7511e+4
2.4224e-1 1.7983e+4
2.4777e-1 1.8797e+4
2.5344e-1 1.9649e+4
2.5923e-1 2.0999e+4
2.6515e-1 2.2743e+4
2.7122e-1 2.4961e+4
2.7742e-1 2.7516e+4
2.8376e-1 3.0199e+4
2.9024e-1 3.3144e+4
2.9688e-1 3.5265e+4
3.0366e-1 3.6376e+4
3.1060e-1 3.6701e+4
3.1769e-1 3.5897e+4
3.2495e-1 3.4342e+4
3.3237e-1 3.2278e+4
3.3996e-1 3.0472e+4
3.4772e-1 2.8640e+4
3.5567e-1 2.7157e+4
3.6379e-1 2.6212e+4
3.7210e-1 2.6212e+4
3.8060e-1 2.6564e+4
3.8930e-1 2.8014e+4
3.9820e-1 3.0610e+4
4.0730e-1 3.3299e+4
4.1661e-1 3.5273e+4
4.2613e-1 3.5588e+4
4.3586e-1 3.3895e+4
4.4581e-1 3.0885e+4
4.5599e-1 2.7770e+4
4.6640e-1 2.4970e+4
4.7705e-1 2.2954e+4
4.8795e-1 2.1574e+4
4.9909e-1 2.0367e+4
5.1049e-1 1.9485e+4
5.2215e-1 1.8724e+4
5.3408e-1 1.8152e+4
5.4628e-1 1.7443e+4
5.5718e-1 1.6836e+4
5.7313e-1 1.6250e+4
5.8622e-1 1.5684e+4
5.9961e-1 1.5138e+4
6.1331e-1 1.4612e+4
6.2555e-1 1.4103e+4
6.4285e-1 1.3452e+4
6.5754e-1 1.2984e+4
6.7319e-1 1.2625e+4
6.8857e-1 1.2132e+4
7.0430e-1 1.2240e+4
7.2039e-1 1.2908e+4
7.3686e-1 1.4357e+4
7.5159e-1 1.6446e+4
7.6444e-1 1.8951e+4
7.7752e-1 2.2228e+4
7.9082e-1 2.5613e+4
8.0435e-1 2.9341e+4
8.2041e-1 3.2729e+4
8.3917e-1 3.5290e+4
8.5834e-1 3.6081e+4
8.7795e-1 3.6081e+4
8.9801e-1 3.6082e+4
9.1853e-1 3.7884e+4
9.3953e-1 4.1578e+4
9.6100e-1 4.5431e+4
9.8295e-1 4.5031e+4
1.0026e+0 4.0609e+4
1.0158e+0 3.5451e+4
1.0274e+0 3.0765e+4
1.0371e+0 2.6937e+4
1.0488e+0 2.2865e+4
1.0607e+0 1.8732e+4
1.0727e+0 1.5279e+4
1.0849e+0 1.2573e+4
1.0972e+0 1.0210e+4
1.1096e+0 8.5143e+3
1.1222e+0 7.2592e+3
1.1413e+0 6.3185e+3
1.1641e+0 5.5159e+3
1.1907e+0 4.8942e+3
1.2179e+0 4.5593e+3
1.2457e+0 4.4595e+3
1.2741e+0 4.5393e+3
1.3033e+0 5.1162e+3
1.3144e+0 5.7492e+3
1.3293e+0 6.7036e+3
1.3445e+0 8.2189e+3
1.3559e+0 9.8123e+3
1.3675e+0 1.1767e+4
1.3805e+0 1.4448e+4
1.3936e+0 1.7661e+4
1.4108e+0 2.2368e+4
1.4268e+0 2.6943e+4
1.4472e+0 3.1883e+4
1.4761e+0 3.6415e+4
1.5098e+0 3.7066e+4
1.5399e+0 3.4024e+4
1.5618e+0 2.9181e+4
1.5795e+0 2.4442e+4
1.5929e+0 2.0839e+4
1.6019e+0 1.8085e+4
1.6109e+0 1.5975e+4
1.6200e+0 1.3263e+4
1.6291e+0 1.1510e+4
1.6383e+0 9.6412e+3
1.6476e+0 8.7459e+3
1.6522e+0 7.6575e+3
1.6600e+0 6.3201e+3
1.6693e+0 5.3567e+3
1.6803e+0 4.7881e+3
1.6898e+0 4.1922e+3
1.7042e+0 3.5901e+3
1.7274e+0 3.0528e+3
1.7678e+0 2.6446e+3
1.8031e+0 2.3709e+3
1.8339e+0 2.0944e+3
1.8704e+0 1.8392e+3
1.9167e+0 1.6056e+3
1.9349e+0 1.8971e+3
1.9791e+0 1.8150e+3
2.0243e+0 1.7363e+3
2.0705e+0 1.6759e+3
2.1178e+0 1.6176e+3
2.1662e+0 1.5752e+3
2.2157e+0 1.5203e+3
2.2663e+0 1.4805e+3
2.3181e+0 1.4290e+3
2.3710e+0 1.3854e+3
2.4252e+0 1.3431e+3
2.4806e+0 1.3021e+3
2.5372e+0 1.2623e+3
2.5952e+0 1.2293e+3
2.6545e+0 1.1970e+3
2.7151e+0 1.1605e+3
2.7771e+0 1.1657e+3
2.8326e+0 1.2850e+3
2.8648e+0 1.5593e+3
2.9221e+0 1.6615e+3
2.9635e+0 1.4166e+3
2.9971e+0 1.1761e+3
3.0397e+0 1.0072e+3
3.1091e+0 9.4245e+2
3.1801e+0 9.0965e+2
3.2527e+0 8.7411e+2
3.3270e+0 8.4368e+2
3.4030e+0 8.2888e+2
3.4808e+0 8.1795e+2
3.5603e+0 7.8948e+2
3.6416e+0 7.5863e+2
3.7248e+0 7.2256e+2
3.8099e+0 6.9126e+2
3.8969e+0 6.5839e+2
3.9859e+0 6.2709e+2
4.0769e+0 6.0526e+2
4.1700e+0 5.7904e+2
4.2653e+0 5.5151e+2
4.3627e+0 5.2529e+2
4.4623e+0 5.0253e+2
4.5643e+0 4.7864e+2
4.6685e+0 4.5387e+2
4.7751e+0 4.3038e+2
4.8842e+0 4.0991e+2
4.9957e+0 3.9216e+2
5.1098e+0 3.6858e+2
5.2265e+0 3.5261e+2
5.3459e+0 3.3436e+2
5.4680e+0 3.1706e+2
5.5929e+0 2.9932e+2
5.7206e+0 2.8509e+2
5.8513e+0 2.6795e+2
5.9849e+0 2.5295e+2
6.1216e+0 2.3880e+2
6.2614e+0 2.2444e+2
6.4044e+0 2.1095e+2
6.5506e+0 1.9915e+2
6.7002e+0 1.8801e+2
6.8533e+0 1.7749e+2
7.0098e+0 1.6682e+2
7.1699e+0 1.5679e+2
7.3336e+0 1.4736e+2
7.5011e+0 1.3728e+2
7.6724e+0 1.2789e+2
7.8476e+0 1.1914e+2
8.0268e+0 1.1297e+2
8.2101e+0 1.0571e+2
8.3976e+0 9.9356e+1
8.5894e+0 9.2970e+1
8.7855e+0 8.6994e+1
8.9862e+0 8.2127e+1
9.1914e+0 7.6508e+1
9.3484e+0 7.3194e+1
