# Saha solution with Stewart-Pyat α=1 IPD
   n[1/cc]      T[K]         Zbar         x_0[eV]      x_1[eV]      x_2[eV]      χ_0[eV]      χ_1[eV]      χ_2[eV]      
   1.848e+20    1.479e+03    2.221e-42    1.000e+00    2.221e-42    2.190e-69    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    1.508e+03    1.474e-41    1.000e+00    1.474e-41    5.085e-69    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    1.538e+03    9.428e-41    1.000e+00    9.428e-41    1.163e-68    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    1.569e+03    5.819e-40    1.000e+00    5.819e-40    2.618e-68    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    1.600e+03    3.467e-39    1.000e+00    3.467e-39    5.809e-68    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    1.632e+03    1.996e-38    1.000e+00    1.996e-38    1.270e-67    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    1.664e+03    1.111e-37    1.000e+00    1.111e-37    2.738e-67    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    1.697e+03    5.981e-37    1.000e+00    5.981e-37    5.820e-67    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    1.731e+03    3.118e-36    1.000e+00    3.118e-36    1.220e-66    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    1.765e+03    1.574e-35    1.000e+00    1.574e-35    2.524e-66    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    1.800e+03    7.702e-35    1.000e+00    7.702e-35    5.154e-66    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    1.836e+03    3.655e-34    1.000e+00    3.655e-34    1.039e-65    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    1.873e+03    1.684e-33    1.000e+00    1.684e-33    2.067e-65    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    1.910e+03    7.528e-33    1.000e+00    7.528e-33    4.062e-65    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    1.948e+03    3.271e-32    1.000e+00    3.271e-32    7.886e-65    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    1.986e+03    1.381e-31    1.000e+00    1.381e-31    1.513e-64    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    2.026e+03    5.675e-31    1.000e+00    5.675e-31    2.869e-64    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    2.066e+03    2.268e-30    1.000e+00    2.268e-30    5.377e-64    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    2.107e+03    8.829e-30    1.000e+00    8.829e-30    9.966e-64    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    2.149e+03    3.348e-29    1.000e+00    3.348e-29    1.827e-63    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    2.191e+03    1.237e-28    1.000e+00    1.237e-28    3.312e-63    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    2.235e+03    4.459e-28    1.000e+00    4.459e-28    5.943e-63    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    2.279e+03    1.568e-27    1.000e+00    1.568e-27    1.055e-62    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    2.325e+03    5.380e-27    1.000e+00    5.380e-27    1.858e-62    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    2.371e+03    1.803e-26    1.000e+00    1.803e-26    3.285e-62    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    2.418e+03    5.904e-26    1.000e+00    5.904e-26    6.588e-62    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    2.466e+03    1.890e-25    1.000e+00    1.890e-25    2.666e-61    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    2.515e+03    5.915e-25    1.000e+00    5.915e-25    2.880e-60    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    2.565e+03    1.811e-24    1.000e+00    1.811e-24    4.110e-59    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    2.616e+03    5.428e-24    1.000e+00    5.428e-24    5.825e-58    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    2.668e+03    1.593e-23    1.000e+00    1.593e-23    7.882e-57    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    2.720e+03    4.578e-23    1.000e+00    4.578e-23    1.015e-55    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    2.775e+03    1.289e-22    1.000e+00    1.289e-22    1.245e-54    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    2.830e+03    3.561e-22    1.000e+00    3.561e-22    1.454e-53    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    2.886e+03    9.642e-22    1.000e+00    9.642e-22    1.621e-52    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    2.943e+03    2.562e-21    1.000e+00    2.562e-21    1.725e-51    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    3.001e+03    6.679e-21    1.000e+00    6.679e-21    1.754e-50    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    3.061e+03    1.710e-20    1.000e+00    1.710e-20    1.705e-49    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    3.122e+03    4.299e-20    1.000e+00    4.299e-20    1.587e-48    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    3.184e+03    1.062e-19    1.000e+00    1.062e-19    1.415e-47    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    3.247e+03    2.578e-19    1.000e+00    2.578e-19    1.210e-46    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    3.311e+03    6.155e-19    1.000e+00    6.155e-19    9.931e-46    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    3.377e+03    1.445e-18    1.000e+00    1.445e-18    7.826e-45    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    3.444e+03    3.337e-18    1.000e+00    3.337e-18    5.928e-44    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    3.513e+03    7.585e-18    1.000e+00    7.585e-18    4.319e-43    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    3.582e+03    1.697e-17    1.000e+00    1.697e-17    3.030e-42    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    3.654e+03    3.739e-17    1.000e+00    3.739e-17    2.047e-41    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    3.726e+03    8.115e-17    1.000e+00    8.115e-17    1.333e-40    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    3.800e+03    1.735e-16    1.000e+00    1.735e-16    8.379e-40    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    3.875e+03    3.657e-16    1.000e+00    3.657e-16    5.083e-39    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    3.952e+03    7.600e-16    1.000e+00    7.600e-16    2.979e-38    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    4.031e+03    1.557e-15    1.000e+00    1.557e-15    1.688e-37    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    4.111e+03    3.148e-15    1.000e+00    3.148e-15    9.251e-37    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    4.193e+03    6.277e-15    1.000e+00    6.277e-15    4.908e-36    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    4.276e+03    1.235e-14    1.000e+00    1.235e-14    2.522e-35    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    4.361e+03    2.401e-14    1.000e+00    2.401e-14    1.256e-34    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    4.447e+03    4.606e-14    1.000e+00    4.606e-14    6.067e-34    0.000e+00    2.459e+01    5.442e+01
   1.848e+20    4.535e+03    8.728e-14    1.000e+00    8.728e-14    2.843e-33    0.000e+00    2.459e+01    5.442e+01
