# Shown is also the standard deviation from a large set of initial guesses, if large then invalid- multiple solutions 
   n[1/cc]      T[K]         Zbar         χ0[eV]
   9.150e+20    5.000e+02    8.620e-09    2.621e-03
   9.150e+20    5.256e+02    8.620e-09    2.556e-03
   9.150e+20    5.525e+02    8.620e-09    2.493e-03
   9.150e+20    5.808e+02    8.620e-09    2.432e-03
   9.150e+20    6.105e+02    8.620e-09    2.372e-03
   9.150e+20    6.417e+02    8.620e-09    2.313e-03
   9.150e+20    6.746e+02    8.620e-09    2.256e-03
   9.150e+20    7.091e+02    8.620e-09    2.201e-03
   9.150e+20    7.454e+02    8.620e-09    2.146e-03
   9.150e+20    7.836e+02    8.620e-09    2.093e-03
   9.150e+20    8.237e+02    8.620e-09    2.042e-03
   9.150e+20    8.658e+02    8.650e-09    1.995e-03
   9.150e+20    9.101e+02    8.652e-09    1.946e-03
   9.150e+20    9.567e+02    8.652e-09    1.898e-03
   9.150e+20    1.006e+03    8.652e-09    1.851e-03
   9.150e+20    1.057e+03    8.652e-09    1.806e-03
   9.150e+20    1.111e+03    8.652e-09    1.761e-03
   9.150e+20    1.168e+03    8.652e-09    1.718e-03
   9.150e+20    1.228e+03    8.652e-09    1.675e-03
   9.150e+20    1.291e+03    8.652e-09    1.634e-03
   9.150e+20    1.357e+03    8.652e-09    1.594e-03
   9.150e+20    1.426e+03    8.652e-09    1.555e-03
   9.150e+20    1.499e+03    8.652e-09    1.516e-03
   9.150e+20    1.576e+03    8.666e-09    1.480e-03
   9.150e+20    1.657e+03    8.669e-09    1.444e-03
   9.150e+20    1.741e+03    8.669e-09    1.408e-03
   9.150e+20    1.831e+03    8.669e-09    1.373e-03
   9.150e+20    1.924e+03    8.669e-09    1.340e-03
   9.150e+20    2.023e+03    8.669e-09    1.307e-03
   9.150e+20    2.126e+03    8.669e-09    1.274e-03
   9.150e+20    2.235e+03    8.669e-09    1.243e-03
   9.150e+20    2.350e+03    8.669e-09    1.212e-03
   9.150e+20    2.470e+03    8.669e-09    1.182e-03
   9.150e+20    2.596e+03    8.670e-09    1.153e-03
   9.150e+20    2.729e+03    8.677e-09    1.125e-03
   9.150e+20    2.869e+03    8.678e-09    1.098e-03
   9.150e+20    3.016e+03    8.678e-09    1.071e-03
   9.150e+20    3.170e+03    8.678e-09    1.044e-03
   9.150e+20    3.332e+03    8.678e-09    1.019e-03
   9.150e+20    3.503e+03    8.678e-09    9.935e-04
   9.150e+20    3.682e+03    8.678e-09    9.690e-04
   9.150e+20    3.871e+03    8.680e-09    9.452e-04
   9.150e+20    4.069e+03    8.660e-09    9.209e-04
   9.150e+20    4.277e+03    8.663e-09    8.983e-04
   9.150e+20    4.496e+03    8.649e-09    8.754e-04
   9.150e+20    4.726e+03    8.678e-09    8.553e-04
   9.150e+20    4.968e+03    8.653e-09    8.330e-04
   9.150e+20    5.222e+03    8.652e-09    8.124e-04
   9.150e+20    5.489e+03    8.652e-09    7.924e-04
   9.150e+20    5.770e+03    8.652e-09    7.729e-04
   9.150e+20    6.066e+03    8.653e-09    7.539e-04
   9.150e+20    6.376e+03    8.663e-09    7.357e-04
   9.150e+20    6.702e+03    8.755e-09    7.214e-04
   9.150e+20    7.045e+03    9.540e-09    7.345e-04
   9.150e+20    7.406e+03    1.421e-08    8.742e-04
   9.150e+20    7.785e+03    3.139e-08    1.267e-03
   9.150e+20    8.184e+03    7.649e-08    1.930e-03
   9.150e+20    8.602e+03    1.836e-07    2.916e-03
   9.150e+20    9.043e+03    4.262e-07    4.333e-03
   9.150e+20    9.506e+03    9.535e-07    6.322e-03
   9.150e+20    9.992e+03    2.057e-06    9.057e-03
   9.150e+20    1.050e+04    4.287e-06    1.275e-02
   9.150e+20    1.104e+04    8.639e-06    1.766e-02
   9.150e+20    1.161e+04    1.687e-05    2.407e-02
   9.150e+20    1.220e+04    3.197e-05    3.231e-02
   9.150e+20    1.282e+04    5.889e-05    4.278e-02
   9.150e+20    1.348e+04    1.056e-04    5.586e-02
   9.150e+20    1.417e+04    1.845e-04    7.203e-02
   9.150e+20    1.490e+04    3.146e-04    9.177e-02
   9.150e+20    1.566e+04    5.243e-04    1.156e-01
   9.150e+20    1.646e+04    8.548e-04    1.440e-01
   9.150e+20    1.730e+04    1.365e-03    1.776e-01
   9.150e+20    1.819e+04    2.137e-03    2.170e-01
   9.150e+20    1.912e+04    3.282e-03    2.628e-01
   9.150e+20    2.010e+04    4.952e-03    3.156e-01
   9.150e+20    2.113e+04    7.344e-03    3.763e-01
   9.150e+20    2.221e+04    1.071e-02    4.455e-01
   9.150e+20    2.334e+04    1.538e-02    5.242e-01
   9.150e+20    2.454e+04    2.175e-02    6.138e-01
   9.150e+20    2.580e+04    3.032e-02    7.157e-01
   9.150e+20    2.712e+04    4.166e-02    8.318e-01
   9.150e+20    2.850e+04    5.648e-02    9.648e-01
   9.150e+20    2.996e+04    7.556e-02    1.118e+00
   9.150e+20    3.150e+04    9.979e-02    1.296e+00
   9.150e+20    3.311e+04    1.302e-01    1.504e+00
   9.150e+20    3.480e+04    1.676e-01    1.748e+00
   9.150e+20    3.658e+04    2.132e-01    2.036e+00
   9.150e+20    3.846e+04    2.676e-01    2.376e+00
   9.150e+20    4.042e+04    3.308e-01    2.772e+00
