r[m]   Te[K]   Zbar Tion[K]
0.000000000000000000e+00 2.210481860380720173e+04 1.698549357833188500e+00 6.290627405862813e+03
4.020100502512562692e-06 2.059627900818916169e+04 1.628398531285502271e+00 5.664559093504098e+03
8.040201005025125383e-06 1.666847665444607628e+04 1.434729251281978035e+00 4.307769470839210e+03
1.206030150753768808e-05 1.173741803775619701e+04 1.162192067783496707e+00 2.808189207357243e+03
1.608040201005025077e-05 7.224295907410643849e+03 8.682758374069441398e-01 1.644193890464482e+03
2.010050251256281176e-05 3.932044290263071161e+03 6.049375625235450249e-01 9.034267700800326e+02
2.412060301507537615e-05 1.950648285725347932e+03 4.047620561912892434e-01 6.169893914634137e+02
2.814070351758794054e-05 9.499588284685063400e+02 2.766106163676125274e-01 5.090053369321764e+02
3.216080402010050153e-05 5.217405098803592409e+02 2.095040580195337565e-01 4.696796374579047e+02
3.618090452261306253e-05 3.655438773352304338e+02 1.815928964689468295e-01 4.639600152488650e+02
