# Saha solution with Stewart-Pyat α=1 IPD
   n[1/cc]      T[K]         Zbar         x_0[eV]      x_1[eV]      x_2[eV]      x_3[eV]      x_4[eV]      x_5[eV]      x_6[eV]      χ_0[eV]      χ_1[eV]      χ_2[eV]      χ_3[eV]      χ_4[eV]      χ_5[eV]      χ_6[eV]      
   1.249e+19    1.661e+03    4.049e-18    1.000e+00    4.049e-18    4.745e-26    6.601e-38    1.241e-47    5.906e-48    5.173e-51    0.000e+00    1.213e+01    2.097e+01    3.105e+01    4.220e+01    5.410e+01    6.670e+01
   1.249e+19    1.694e+03    9.376e-18    1.000e+00    9.376e-18    1.627e-25    3.964e-37    1.235e-47    5.840e-48    5.593e-51    0.000e+00    1.213e+01    2.097e+01    3.105e+01    4.220e+01    5.410e+01    6.670e+01
   1.249e+19    1.728e+03    2.136e-17    1.000e+00    2.136e-17    5.452e-25    2.301e-36    1.229e-47    5.775e-48    6.037e-51    0.000e+00    1.213e+01    2.097e+01    3.105e+01    4.220e+01    5.410e+01    6.670e+01
   1.249e+19    1.762e+03    4.792e-17    1.000e+00    4.792e-17    1.785e-24    1.292e-35    1.223e-47    5.710e-48    6.509e-51    0.000e+00    1.213e+01    2.097e+01    3.105e+01    4.220e+01    5.410e+01    6.670e+01
   1.249e+19    1.797e+03    1.058e-16    1.000e+00    1.058e-16    5.715e-24    7.017e-35    1.239e-47    5.644e-48    7.007e-51    0.000e+00    1.213e+01    2.097e+01    3.105e+01    4.220e+01    5.410e+01    6.670e+01
   1.249e+19    1.833e+03    2.302e-16    1.000e+00    2.302e-16    1.790e-23    3.692e-34    1.467e-47    5.578e-48    7.533e-51    0.000e+00    1.213e+01    2.097e+01    3.105e+01    4.220e+01    5.410e+01    6.670e+01
   1.249e+19    1.869e+03    4.935e-16    1.000e+00    4.935e-16    5.484e-23    1.882e-33    3.741e-47    5.512e-48    8.088e-51    0.000e+00    1.213e+01    2.097e+01    3.105e+01    4.220e+01    5.410e+01    6.670e+01
   1.249e+19    1.906e+03    1.042e-15    1.000e+00    1.042e-15    1.645e-22    9.305e-33    2.482e-46    5.445e-48    8.673e-51    0.000e+00    1.213e+01    2.097e+01    3.105e+01    4.220e+01    5.410e+01    6.670e+01
   1.249e+19    1.944e+03    2.171e-15    1.000e+00    2.171e-15    4.835e-22    4.463e-32    2.114e-45    5.378e-48    9.287e-51    0.000e+00    1.213e+01    2.097e+01    3.105e+01    4.220e+01    5.410e+01    6.670e+01
   1.249e+19    1.982e+03    4.458e-15    1.000e+00    4.458e-15    1.392e-21    2.078e-31    1.795e-44    5.311e-48    9.931e-51    0.000e+00    1.213e+01    2.097e+01    3.105e+01    4.220e+01    5.410e+01    6.670e+01
   1.249e+19    2.022e+03    9.030e-15    1.000e+00    9.030e-15    3.928e-21    9.398e-31    1.469e-43    5.243e-48    1.061e-50    0.000e+00    1.213e+01    2.097e+01    3.105e+01    4.220e+01    5.410e+01    6.670e+01
   1.249e+19    2.062e+03    1.805e-14    1.000e+00    1.805e-14    1.087e-20    4.131e-30    1.157e-42    5.176e-48    1.131e-50    0.000e+00    1.213e+01    2.097e+01    3.105e+01    4.220e+01    5.410e+01    6.670e+01
   1.249e+19    2.103e+03    3.559e-14    1.000e+00    3.559e-14    2.950e-20    1.766e-29    8.760e-42    5.107e-48    1.205e-50    0.000e+00    1.213e+01    2.097e+01    3.105e+01    4.220e+01    5.410e+01    6.670e+01
   1.249e+19    2.145e+03    6.930e-14    1.000e+00    6.930e-14    7.857e-20    7.343e-29    6.384e-41    5.039e-48    1.282e-50    0.000e+00    1.213e+01    2.097e+01    3.105e+01    4.220e+01    5.410e+01    6.670e+01
   1.249e+19    2.187e+03    1.332e-13    1.000e+00    1.332e-13    2.055e-19    2.973e-28    4.482e-40    4.971e-48    1.363e-50    0.000e+00    1.213e+01    2.097e+01    3.105e+01    4.220e+01    5.410e+01    6.670e+01
   1.249e+19    2.231e+03    2.529e-13    1.000e+00    2.529e-13    5.276e-19    1.172e-27    3.032e-39    4.904e-48    1.447e-50    0.000e+00    1.213e+01    2.097e+01    3.105e+01    4.220e+01    5.410e+01    6.670e+01
   1.249e+19    2.275e+03    4.744e-13    1.000e+00    4.744e-13    1.331e-18    4.504e-27    1.979e-38    4.850e-48    1.534e-50    0.000e+00    1.213e+01    2.097e+01    3.105e+01    4.220e+01    5.410e+01    6.670e+01
   1.249e+19    2.320e+03    8.793e-13    1.000e+00    8.793e-13    3.299e-18    1.687e-26    1.247e-37    4.940e-48    1.625e-50    0.000e+00    1.213e+01    2.097e+01    3.105e+01    4.220e+01    5.410e+01    6.670e+01
   1.249e+19    2.366e+03    1.611e-12    1.000e+00    1.611e-12    8.039e-18    6.167e-26    7.585e-37    6.585e-48    1.720e-50    0.000e+00    1.213e+01    2.097e+01    3.105e+01    4.220e+01    5.410e+01    6.670e+01
   1.249e+19    2.413e+03    2.917e-12    1.000e+00    2.917e-12    1.926e-17    2.199e-25    4.461e-36    2.428e-47    1.818e-50    0.000e+00    1.213e+01    2.097e+01    3.105e+01    4.220e+01    5.410e+01    6.670e+01
   1.249e+19    2.461e+03    5.222e-12    1.000e+00    5.222e-12    4.541e-17    7.658e-25    2.538e-35    2.004e-46    1.920e-50    0.000e+00    1.213e+01    2.097e+01    3.105e+01    4.220e+01    5.410e+01    6.670e+01
   1.249e+19    2.510e+03    9.248e-12    1.000e+00    9.248e-12    1.053e-16    2.605e-24    1.397e-34    1.874e-45    2.025e-50    0.000e+00    1.213e+01    2.097e+01    3.105e+01    4.220e+01    5.410e+01    6.670e+01
