# Intensity presumably normlized s.t. at t=0, max(I(r))=100
# This is I at t = 0.6 [ns]
r[μm]     I[arb]
-9.727e+1 3.547e+0
-9.560e+1 4.021e+0
-9.384e+1 4.286e+0
-9.209e+1 4.448e+0
-9.033e+1 4.570e+0
-8.858e+1 4.790e+0
-8.682e+1 5.087e+0
-8.507e+1 5.262e+0
-8.331e+1 5.643e+0
-8.156e+1 5.843e+0
-7.980e+1 6.056e+0
-7.805e+1 6.340e+0
-7.629e+1 6.670e+0
-7.454e+1 6.819e+0
-7.278e+1 7.058e+0
-7.103e+1 7.025e+0
-6.927e+1 7.484e+0
-6.751e+1 7.859e+0
-6.576e+1 8.072e+0
-6.400e+1 8.052e+0
-6.225e+1 8.466e+0
-6.049e+1 8.976e+0
-5.874e+1 9.390e+0
-5.698e+1 9.687e+0
-5.523e+1 9.706e+0
-5.347e+1 1.004e+1
-5.172e+1 1.073e+1
-4.996e+1 1.091e+1
-4.820e+1 1.152e+1
-4.645e+1 1.180e+1
-4.469e+1 1.239e+1
-4.294e+1 1.278e+1
-4.114e+1 1.318e+1
-3.957e+1 1.450e+1
-3.756e+1 1.570e+1
-3.604e+1 1.653e+1
-3.456e+1 1.769e+1
-3.314e+1 1.853e+1
-3.106e+1 2.034e+1
-2.999e+1 2.190e+1
-2.805e+1 2.340e+1
-2.715e+1 2.551e+1
-2.643e+1 2.743e+1
-2.588e+1 2.919e+1
-2.540e+1 3.098e+1
-2.492e+1 3.269e+1
-2.465e+1 3.432e+1
-2.413e+1 3.603e+1
-2.356e+1 3.775e+1
-2.291e+1 3.936e+1
-2.235e+1 4.088e+1
-2.148e+1 4.252e+1
-2.111e+1 4.410e+1
-2.055e+1 4.575e+1
-2.022e+1 4.753e+1
-1.982e+1 4.911e+1
-1.916e+1 5.114e+1
-1.886e+1 5.325e+1
-1.859e+1 5.506e+1
-1.803e+1 5.750e+1
-1.773e+1 5.965e+1
-1.736e+1 6.151e+1
-1.690e+1 6.371e+1
-1.663e+1 6.577e+1
-1.624e+1 6.767e+1
-1.596e+1 6.957e+1
-1.562e+1 7.149e+1
-1.515e+1 7.349e+1
-1.450e+1 7.537e+1
-1.363e+1 7.679e+1
-1.287e+1 7.872e+1
-1.208e+1 8.065e+1
-1.064e+1 8.179e+1
-9.849e+0 8.367e+1
-9.548e+0 8.535e+1
-9.031e+0 8.691e+1
-8.665e+0 8.860e+1
-8.184e+0 9.021e+1
-7.543e+0 9.175e+1
-5.911e+0 9.242e+1
-4.624e+0 9.422e+1
-3.494e+0 9.598e+1
-2.138e+0 9.576e+1
-1.007e+0 9.457e+1
-1.990e-1 9.486e+1
5.004e-1 9.565e+1
2.354e+0 9.500e+1
3.468e+0 9.330e+1
4.720e+0 9.196e+1
5.303e+0 8.998e+1
5.798e+0 8.780e+1
6.050e+0 8.579e+1
6.556e+0 8.390e+1
6.841e+0 8.195e+1
7.376e+0 7.992e+1
8.681e+0 7.924e+1
9.348e+0 8.043e+1
1.029e+1 7.861e+1
1.046e+1 7.658e+1
1.107e+1 7.497e+1
1.211e+1 7.417e+1
1.337e+1 7.474e+1
1.399e+1 7.285e+1
1.502e+1 7.196e+1
1.653e+1 7.233e+1
1.753e+1 7.049e+1
1.793e+1 6.866e+1
1.833e+1 6.683e+1
1.895e+1 6.489e+1
1.941e+1 6.312e+1
2.015e+1 6.140e+1
2.070e+1 5.966e+1
2.141e+1 5.807e+1
2.246e+1 5.641e+1
2.295e+1 5.458e+1
2.389e+1 5.293e+1
2.512e+1 5.132e+1
2.571e+1 4.930e+1
2.651e+1 4.751e+1
2.705e+1 4.575e+1
2.771e+1 4.391e+1
2.828e+1 4.190e+1
2.880e+1 4.018e+1
2.951e+1 3.857e+1
3.011e+1 3.692e+1
3.078e+1 3.529e+1
3.134e+1 3.366e+1
3.200e+1 3.200e+1
3.272e+1 3.043e+1
3.355e+1 2.863e+1
3.438e+1 2.713e+1
3.554e+1 2.554e+1
3.654e+1 2.398e+1
3.766e+1 2.243e+1
3.907e+1 2.121e+1
4.039e+1 2.035e+1
4.116e+1 1.881e+1
4.228e+1 1.726e+1
4.408e+1 1.695e+1
4.562e+1 1.619e+1
4.667e+1 1.487e+1
4.832e+1 1.456e+1
5.013e+1 1.394e+1
5.175e+1 1.297e+1
5.358e+1 1.235e+1
5.533e+1 1.183e+1
5.709e+1 1.183e+1
5.884e+1 1.170e+1
6.060e+1 1.101e+1
6.235e+1 1.076e+1
6.410e+1 1.037e+1
6.586e+1 1.023e+1
6.761e+1 9.913e+0
6.937e+1 9.273e+0
7.112e+1 8.899e+0
7.288e+1 8.925e+0
7.463e+1 8.343e+0
7.638e+1 8.052e+0
7.814e+1 8.039e+0
7.989e+1 8.014e+0
8.165e+1 7.716e+0
8.340e+1 7.245e+0
8.516e+1 7.142e+0
8.691e+1 7.148e+0
8.867e+1 6.786e+0
9.042e+1 6.560e+0
9.218e+1 6.244e+0
9.393e+1 5.817e+0
9.568e+1 5.481e+0
9.662e+1 4.642e+0
9.824e+1 5.171e+0
1.001e+2 5.252e+0
