# Intensity presumably normlized s.t. at t=0, max(I(r))=100
# This is I at t = 12 [ns]
r[μm]     I[arb]
-9.959e+1 1.592e+0
-9.784e+1 1.709e+0
-9.608e+1 1.825e+0
-9.433e+1 1.876e+0
-9.257e+1 2.103e+0
-9.082e+1 2.258e+0
-8.906e+1 2.283e+0
-8.731e+1 2.451e+0
-8.555e+1 2.626e+0
-8.380e+1 2.723e+0
-8.204e+1 2.858e+0
-8.029e+1 2.968e+0
-7.853e+1 3.091e+0
-7.678e+1 3.369e+0
-7.502e+1 3.466e+0
-7.327e+1 3.433e+0
-7.151e+1 3.653e+0
-6.976e+1 3.782e+0
-6.800e+1 4.060e+0
-6.624e+1 4.209e+0
-6.449e+1 4.435e+0
-6.273e+1 4.448e+0
-6.098e+1 4.609e+0
-5.922e+1 4.784e+0
-5.747e+1 4.887e+0
-5.571e+1 5.010e+0
-5.396e+1 5.100e+0
-5.220e+1 5.300e+0
-5.045e+1 5.707e+0
-4.869e+1 6.069e+0
-4.694e+1 6.373e+0
-4.518e+1 6.437e+0
-4.343e+1 6.631e+0
-4.167e+1 7.077e+0
-3.992e+1 7.574e+0
-3.816e+1 8.052e+0
-3.640e+1 8.814e+0
-3.458e+1 9.686e+0
-3.296e+1 1.090e+1
-3.102e+1 1.177e+1
-2.942e+1 1.287e+1
-2.778e+1 1.459e+1
-2.634e+1 1.623e+1
-2.531e+1 1.810e+1
-2.442e+1 1.973e+1
-2.345e+1 2.116e+1
-2.234e+1 2.263e+1
-2.120e+1 2.407e+1
-1.952e+1 2.506e+1
-1.835e+1 2.673e+1
-1.718e+1 2.827e+1
-1.648e+1 2.995e+1
-1.575e+1 3.165e+1
-1.453e+1 3.299e+1
-1.330e+1 3.467e+1
-1.163e+1 3.493e+1
-9.876e+0 3.494e+1
-8.244e+0 3.546e+1
-7.000e+0 3.738e+1
-5.796e+0 3.878e+1
-4.345e+0 4.019e+1
-2.477e+0 4.097e+1
-1.138e+0 4.272e+1
6.899e-1 4.366e+1
1.976e+0 4.537e+1
3.704e+0 4.599e+1
5.525e+0 4.574e+1
6.929e+0 4.496e+1
7.847e+0 4.343e+1
8.836e+0 4.185e+1
1.002e+1 4.139e+1
1.088e+1 4.289e+1
1.185e+1 4.355e+1
1.294e+1 4.173e+1
1.391e+1 4.108e+1
1.486e+1 4.250e+1
1.608e+1 4.180e+1
1.663e+1 4.044e+1
1.848e+1 4.064e+1
1.985e+1 3.999e+1
2.060e+1 3.853e+1
2.140e+1 3.695e+1
2.212e+1 3.537e+1
2.327e+1 3.374e+1
2.419e+1 3.223e+1
2.520e+1 3.051e+1
2.618e+1 2.910e+1
2.727e+1 2.747e+1
2.825e+1 2.585e+1
2.935e+1 2.440e+1
3.046e+1 2.282e+1
3.157e+1 2.114e+1
3.253e+1 1.965e+1
3.350e+1 1.817e+1
3.462e+1 1.660e+1
3.588e+1 1.514e+1
3.721e+1 1.357e+1
3.869e+1 1.271e+1
4.050e+1 1.195e+1
4.228e+1 1.103e+1
4.352e+1 9.785e+0
4.528e+1 9.474e+0
4.703e+1 9.021e+0
4.879e+1 8.446e+0
5.054e+1 7.923e+0
5.229e+1 7.594e+0
5.405e+1 7.251e+0
5.580e+1 6.896e+0
5.756e+1 6.786e+0
5.931e+1 6.541e+0
6.107e+1 6.489e+0
6.282e+1 6.224e+0
6.458e+1 5.908e+0
6.633e+1 5.675e+0
6.808e+1 5.494e+0
6.984e+1 5.178e+0
7.159e+1 4.887e+0
7.335e+1 4.700e+0
7.510e+1 4.577e+0
7.686e+1 4.570e+0
7.861e+1 4.499e+0
8.037e+1 4.260e+0
8.212e+1 4.202e+0
8.388e+1 3.944e+0
8.563e+1 3.750e+0
8.738e+1 3.692e+0
8.914e+1 3.692e+0
9.089e+1 3.511e+0
9.265e+1 3.395e+0
9.440e+1 3.227e+0
9.616e+1 3.072e+0
9.791e+1 2.936e+0
9.967e+1 2.716e+0
1.006e+2 2.697e+0
