# Shown is also the standard deviation from a large set of initial guesses, if large then invalid- multiple solutions 
   n[1/cc]      T[K]         Zbar         σ(Zbar)      χ0[eV]       σ(χ0[eV])
   6.250e+19    5.000e+03    9.951e-06    1.223e-09    7.359e-03    4.523e-07
   6.250e+19    5.091e+03    1.300e-05    1.073e-09    8.335e-03    3.440e-07
   6.250e+19    5.184e+03    1.690e-05    1.999e-09    9.418e-03    5.573e-07
   6.250e+19    5.279e+03    2.188e-05    2.397e-09    1.062e-02    5.819e-07
   6.250e+19    5.375e+03    2.820e-05    3.359e-11    1.195e-02    7.116e-09
   6.250e+19    5.474e+03    3.620e-05    2.316e-09    1.342e-02    4.292e-07
   6.250e+19    5.574e+03    4.628e-05    1.906e-11    1.503e-02    3.095e-09
   6.250e+19    5.675e+03    5.892e-05    6.651e-10    1.681e-02    9.489e-08
   6.250e+19    5.779e+03    7.473e-05    2.382e-09    1.876e-02    2.991e-07
   6.250e+19    5.885e+03    9.441e-05    4.234e-10    2.090e-02    4.688e-08
   6.250e+19    5.992e+03    1.188e-04    1.730e-11    2.323e-02    1.692e-09
   6.250e+19    6.101e+03    1.490e-04    1.898e-11    2.578e-02    1.643e-09
   6.250e+19    6.213e+03    1.861e-04    2.237e-11    2.856e-02    1.717e-09
   6.250e+19    6.326e+03    2.317e-04    1.734e-11    3.158e-02    1.183e-09
   6.250e+19    6.442e+03    2.874e-04    1.900e-11    3.486e-02    1.153e-09
   6.250e+19    6.560e+03    3.553e-04    1.929e-11    3.842e-02    1.044e-09
   6.250e+19    6.679e+03    4.378e-04    1.750e-11    4.226e-02    8.459e-10
   6.250e+19    6.801e+03    5.376e-04    1.930e-11    4.642e-02    8.343e-10
   6.250e+19    6.926e+03    6.581e-04    1.967e-11    5.090e-02    7.621e-10
   6.250e+19    7.052e+03    8.030e-04    1.655e-11    5.573e-02    5.758e-10
   6.250e+19    7.181e+03    9.767e-04    2.236e-11    6.093e-02    6.995e-10
   6.250e+19    7.312e+03    1.184e-03    1.752e-11    6.651e-02    4.938e-10
   6.250e+19    7.445e+03    1.432e-03    2.311e-11    7.250e-02    5.874e-10
   6.250e+19    7.581e+03    1.726e-03    1.948e-11    7.892e-02    4.477e-10
   6.250e+19    7.720e+03    2.075e-03    1.928e-11    8.579e-02    4.010e-10
   6.250e+19    7.861e+03    2.487e-03    1.979e-11    9.313e-02    3.732e-10
   6.250e+19    8.004e+03    2.973e-03    1.682e-11    1.010e-01    2.883e-10
   6.250e+19    8.151e+03    3.543e-03    1.959e-11    1.093e-01    3.055e-10
   6.250e+19    8.300e+03    4.212e-03    1.672e-11    1.183e-01    2.377e-10
   6.250e+19    8.451e+03    4.994e-03    1.947e-11    1.278e-01    2.527e-10
   6.250e+19    8.605e+03    5.906e-03    1.670e-11    1.379e-01    1.983e-10
   6.250e+19    8.763e+03    6.967e-03    1.939e-11    1.486e-01    2.111e-10
   6.250e+19    8.923e+03    8.198e-03    1.490e-11    1.601e-01    1.490e-10
   6.250e+19    9.086e+03    9.623e-03    2.293e-11    1.722e-01    2.111e-10
   6.250e+19    9.252e+03    1.127e-02    2.314e-11    1.851e-01    1.964e-10
   6.250e+19    9.421e+03    1.316e-02    3.075e-11    1.989e-01    2.413e-10
   6.250e+19    9.593e+03    1.534e-02    3.626e-11    2.134e-01    2.637e-10
   6.250e+19    9.768e+03    1.784e-02    3.576e-11    2.289e-01    2.416e-10
   6.250e+19    9.946e+03    2.069e-02    4.390e-11    2.454e-01    2.761e-10
   6.250e+19    1.013e+04    2.395e-02    5.215e-11    2.629e-01    3.063e-10
   6.250e+19    1.031e+04    2.766e-02    5.758e-11    2.815e-01    3.166e-10
   6.250e+19    1.050e+04    3.188e-02    6.381e-11    3.013e-01    3.294e-10
   6.250e+19    1.069e+04    3.666e-02    7.104e-11    3.224e-01    3.455e-10
   6.250e+19    1.089e+04    4.208e-02    7.970e-11    3.450e-01    3.663e-10
   6.250e+19    1.109e+04    4.819e-02    8.380e-11    3.691e-01    3.652e-10
   6.250e+19    1.129e+04    5.508e-02    9.203e-11    3.949e-01    3.816e-10
   6.250e+19    1.150e+04    6.282e-02    1.012e-10    4.225e-01    4.008e-10
   6.250e+19    1.171e+04    7.152e-02    1.555e-10    4.523e-01    5.901e-10
   6.250e+19    1.192e+04    8.126e-02    1.773e-10    4.843e-01    6.473e-10
   6.250e+19    1.214e+04    9.215e-02    1.508e-10    5.188e-01    5.321e-10
   6.250e+19    1.236e+04    1.043e-01    1.931e-10    5.562e-01    6.607e-10
   6.250e+19    1.258e+04    1.179e-01    1.422e-09    5.967e-01    4.737e-09
   6.250e+19    1.281e+04    1.329e-01    3.500e-09    6.407e-01    1.140e-08
   6.250e+19    1.305e+04    1.496e-01    1.684e-09    6.886e-01    5.388e-09
   6.250e+19    1.329e+04    1.681e-01    2.921e-09    7.409e-01    9.214e-09
   6.250e+19    1.353e+04    1.886e-01    2.930e-09    7.982e-01    9.150e-09
   6.250e+19    1.378e+04    2.112e-01    2.710e-09    8.610e-01    8.414e-09
   6.250e+19    1.403e+04    2.360e-01    2.551e-09    9.299e-01    7.905e-09
   6.250e+19    1.428e+04    2.633e-01    4.703e-09    1.006e+00    1.460e-08
   6.250e+19    1.455e+04    2.931e-01    1.725e-09    1.089e+00    5.382e-09
   6.250e+19    1.481e+04    3.255e-01    3.288e-09    1.180e+00    1.035e-08
   6.250e+19    1.508e+04    3.605e-01    2.483e-09    1.280e+00    7.912e-09
   6.250e+19    1.536e+04    3.981e-01    3.194e-09    1.389e+00    1.033e-08
   6.250e+19    1.564e+04    4.380e-01    3.946e-09    1.506e+00    1.298e-08
   6.250e+19    1.592e+04    4.797e-01    5.867e-09    1.630e+00    1.966e-08
   6.250e+19    1.621e+04    5.226e-01    4.241e-09    1.760e+00    1.449e-08
   6.250e+19    1.651e+04    5.658e-01    6.034e-09    1.892e+00    2.103e-08
   6.250e+19    1.681e+04    6.081e-01    5.039e-09    2.023e+00    1.789e-08
   6.250e+19    1.712e+04    6.485e-01    4.031e-09    2.149e+00    1.456e-08
   6.250e+19    1.743e+04    6.862e-01    6.959e-09    2.266e+00    2.552e-08
   6.250e+19    1.775e+04    7.207e-01    5.537e-09    2.373e+00    2.057e-08
   6.250e+19    1.807e+04    7.517e-01    2.582e-09    2.466e+00    9.690e-09
   6.250e+19    1.840e+04    7.792e-01    6.952e-09    2.548e+00    2.630e-08
   6.250e+19    1.874e+04    8.035e-01    4.735e-09    2.616e+00    1.801e-08
   6.250e+19    1.908e+04    8.249e-01    7.153e-09    2.674e+00    2.731e-08
   6.250e+19    1.943e+04    8.437e-01    8.230e-09    2.721e+00    3.149e-08
   6.250e+19    1.979e+04    8.602e-01    7.530e-09    2.760e+00    2.883e-08
   6.250e+19    2.015e+04    8.748e-01    6.280e-09    2.790e+00    2.404e-08
   6.250e+19    2.051e+04    8.876e-01    6.059e-09    2.814e+00    2.315e-08
   6.250e+19    2.089e+04    8.989e-01    8.447e-09    2.832e+00    3.220e-08
   6.250e+19    2.127e+04    9.089e-01    8.041e-09    2.844e+00    3.055e-08
   6.250e+19    2.166e+04    9.178e-01    7.316e-09    2.852e+00    2.769e-08
   6.250e+19    2.205e+04    9.257e-01    7.306e-09    2.856e+00    2.752e-08
   6.250e+19    2.246e+04    9.328e-01    7.131e-09    2.857e+00    2.673e-08
   6.250e+19    2.287e+04    9.391e-01    4.019e-09    2.855e+00    1.498e-08
   6.250e+19    2.329e+04    9.447e-01    2.133e-09    2.850e+00    7.906e-09
   6.250e+19    2.371e+04    9.498e-01    7.113e-09    2.843e+00    2.620e-08
   6.250e+19    2.414e+04    9.543e-01    8.890e-09    2.834e+00    3.253e-08
   6.250e+19    2.458e+04    9.584e-01    9.137e-09    2.823e+00    3.321e-08
   6.250e+19    2.503e+04    9.621e-01    6.058e-09    2.811e+00    2.187e-08
   6.250e+19    2.549e+04    9.654e-01    6.660e-09    2.797e+00    2.387e-08
   6.250e+19    2.596e+04    9.684e-01    7.687e-09    2.783e+00    2.734e-08
   6.250e+19    2.643e+04    9.711e-01    7.139e-09    2.767e+00    2.520e-08
   6.250e+19    2.691e+04    9.736e-01    1.373e-09    2.751e+00    4.809e-09
   6.250e+19    2.740e+04    9.758e-01    5.225e-10    2.734e+00    1.816e-09
   6.250e+19    2.790e+04    9.778e-01    5.265e-10    2.716e+00    1.816e-09
   6.250e+19    2.841e+04    9.796e-01    1.248e-10    2.698e+00    4.269e-10
   6.250e+19    2.893e+04    9.813e-01    1.868e-10    2.679e+00    6.339e-10
   6.250e+19    2.946e+04    9.828e-01    7.597e-09    2.660e+00    2.557e-08
   6.250e+19    3.000e+04    9.842e-01    1.095e-08    2.641e+00    3.656e-08
   6.622e+19    5.000e+03    9.669e-06    2.817e-11    7.467e-03    1.088e-08
   6.622e+19    5.091e+03    1.263e-05    6.661e-12    8.457e-03    2.230e-09
   6.622e+19    5.184e+03    1.642e-05    6.828e-12    9.556e-03    1.987e-09
   6.622e+19    5.279e+03    2.126e-05    7.014e-12    1.078e-02    1.778e-09
   6.622e+19    5.375e+03    2.740e-05    2.751e-11    1.212e-02    6.087e-09
   6.622e+19    5.474e+03    3.517e-05    6.558e-12    1.361e-02    1.269e-09
   6.622e+19    5.574e+03    4.497e-05    6.769e-12    1.525e-02    1.148e-09
   6.622e+19    5.675e+03    5.726e-05    7.001e-12    1.706e-02    1.043e-09
   6.622e+19    5.779e+03    7.262e-05    2.764e-11    1.904e-02    3.624e-09
   6.622e+19    5.885e+03    9.175e-05    6.630e-12    2.121e-02    7.664e-10
   6.622e+19    5.992e+03    1.155e-04    6.888e-12    2.358e-02    7.034e-10
   6.622e+19    6.101e+03    1.448e-04    7.175e-12    2.616e-02    6.486e-10
   6.622e+19    6.213e+03    1.809e-04    6.588e-12    2.898e-02    5.280e-10
   6.622e+19    6.326e+03    2.252e-04    6.873e-12    3.205e-02    4.893e-10
   6.622e+19    6.442e+03    2.794e-04    7.186e-12    3.538e-02    4.554e-10
   6.622e+19    6.560e+03    3.454e-04    6.625e-12    3.898e-02    3.743e-10
   6.622e+19    6.679e+03    4.256e-04    6.941e-12    4.289e-02    3.502e-10
   6.622e+19    6.801e+03    5.226e-04    2.777e-11    4.711e-02    1.254e-09
   6.622e+19    6.926e+03    6.397e-04    6.759e-12    5.166e-02    2.734e-10
   6.622e+19    7.052e+03    7.806e-04    7.113e-12    5.656e-02    2.583e-10
   6.622e+19    7.181e+03    9.496e-04    6.602e-12    6.184e-02    2.156e-10
   6.622e+19    7.312e+03    1.152e-03    6.962e-12    6.750e-02    2.048e-10
   6.622e+19    7.445e+03    1.392e-03    2.789e-11    7.358e-02    7.399e-10
   6.622e+19    7.581e+03    1.679e-03    6.850e-12    8.010e-02    1.643e-10
   6.622e+19    7.720e+03    2.018e-03    7.258e-12    8.707e-02    1.575e-10
   6.622e+19    7.861e+03    2.419e-03    6.838e-12    9.453e-02    1.346e-10
   6.622e+19    8.004e+03    2.891e-03    7.262e-12    1.025e-01    1.298e-10
   6.622e+19    8.151e+03    3.446e-03    6.796e-12    1.110e-01    1.106e-10
   6.622e+19    8.300e+03    4.098e-03    7.234e-12    1.200e-01    1.073e-10
   6.622e+19    8.451e+03    4.859e-03    6.788e-12    1.297e-01    9.191e-11
