# Digitized Xenon 5 bar Bataller 2014 data
# Linear space. Point left to right centered at -90 to +90. Points top to bottom from 0 to 15 ns
0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
2.78	2.78	3.05	3.17	3.17	3.45	4	4	4	4	4	4	4	4	4.28	4.55	4.55	4.55	4.71	4.83	4.83	4.95	5.07	5.22	5.22	5.5	5.5	5.5	5.5	5.5	5.5	6.25	6.33	6.53	6.72	6.88	7.28	7.55	7.95	8.5	8.78	9.33	9.59	9.72	9.86	10	10	10	10	10	10	10	10	10	9.86	10	9.59	9.72	9.59	9.59	9.33	9.05	9.05	8.78	8.78	8.5	8.22	7.83	7.55	7.83	7	6.84	6.33	6.33	6.17	5.5	5.5	5.5	5.5	5.5	5.5	5.5	5.22	5.22	5.11	5.07	4.95	4.71	4.83	4.71	4.55	4.55	4.47	4.39	4	4	4	4	4	4
2.5	2.78	2.78	3.05	3.17	3.17	3.45	4	4	4	4	4	4	4	4	4.28	4.28	4.39	4.55	4.55	4.71	4.63	4.83	4.95	5.11	5.22	5.22	5.5	5.5	5.5	5.5	5.5	6.17	6.33	6.57	6.72	7.16	7.55	7.95	8.22	8.78	9.05	9.45	9.59	9.72	9.72	10	10	10	10	10	10	10	9.86	9.59	9.59	9.45	9.45	9.33	9.33	9.05	8.78	8.78	8.5	8.5	7.95	7.83	7.55	7.83	7	6.8	6.61	6.21	6.05	5.5	5.5	5.5	5.5	5.5	5.22	5.22	5.14	5.07	5.03	4.83	4.83	4.71	4.55	4.55	4.47	4.28	4.28	4.28	4	4	4	4	4	4	4
2.5	2.5	2.78	2.78	3.05	3.17	3.17	3.45	3.45	4	4	4	4	4	4	4	4	4	4.39	4.55	4.55	4.63	4.71	4.83	4.95	5.07	5.11	5.22	5.22	5.5	5.5	5.5	5.5	6.13	6.33	6.57	7	7.55	7.55	7.95	8.5	9.05	9.33	9.45	9.59	9.59	9.86	9.86	10	10	10	9.86	9.86	9.59	9.45	9.45	9.33	9.33	9.05	9.05	9.05	8.78	8.5	8.5	8.22	7.83	7.55	7.55	7	6.72	6.57	6.33	5.5	5.5	5.5	5.5	5.5	5.5	5.22	5.11	5.07	4.95	4.95	4.95	4.83	4.71	4.55	4.39	4.28	4.28	4	4	4	4	4	4	4	4	4	3.45
2.5	2.5	2.78	2.78	2.78	3.05	3.17	3.17	3.45	4	4	4	4	4	4	4	4	4	4.28	4.28	4.55	4.55	4.55	4.71	4.83	4.95	4.95	5.11	5.22	5.5	5.5	5.5	5.5	6.05	6.33	6.45	6.84	7.83	7.55	7.95	8.5	9.05	9.21	9.45	9.45	9.59	9.59	9.86	9.86	9.86	9.86	9.72	9.59	9.59	9.33	9.45	9.05	9.05	9.05	9.05	8.78	8.5	8.5	8.5	7.95	7.55	7.55	7.28	6.92	6.72	6.41	6.33	5.5	5.5	5.5	5.5	5.5	5.22	5.11	4.95	4.95	4.95	4.87	4.71	4.63	4.55	4.47	4.28	4.28	4.28	4	4	4	4	4	4	4	4	4	3.45
2.22	2.5	2.78	2.78	2.78	3.05	3.17	3.17	3.45	4	4	4	4	4	4	4	4	4	4	4.28	4.39	4.47	4.55	4.67	4.71	4.95	4.95	5.07	5.11	5.5	5.5	5.5	5.5	6.05	6.33	6.33	6.72	7.83	7.55	7.95	8.5	8.78	9.05	9.33	9.45	9.45	9.59	9.72	9.72	9.72	9.72	9.72	9.59	9.45	9.33	9.45	9.05	9.21	9.05	9.05	8.78	8.5	8.5	8.22	7.95	7.55	7.55	7.28	6.88	6.61	6.33	6.17	5.5	5.5	5.5	5.5	5.3	5.22	5.11	4.95	4.95	4.95	4.83	4.71	4.55	4.63	4.55	4.28	4.28	4	4	4	4	4	4	4	4	4	3.45	3.17
2.22	2.5	2.78	2.78	2.78	3.05	3.17	3.17	3.45	4	4	4	4	4	4	4	4	4	4.28	4.39	4.39	4.39	4.63	4.71	4.83	4.95	4.95	5.03	5.14	5.5	5.5	5.5	5.5	5.5	6.21	6.45	6.8	7.55	7.55	7.83	8.5	8.78	9.05	9.21	9.33	9.33	9.59	9.59	9.59	9.72	9.72	9.72	9.59	9.45	9.33	9.33	9.05	9.05	8.78	8.78	8.78	8.5	8.5	8.22	7.95	7.55	7.55	7.28	6.72	6.53	6.33	6.05	5.5	5.5	5.5	5.5	5.38	5.14	5.03	4.95	4.95	4.83	4.71	4.63	4.55	4.55	4.39	4.28	4.28	4	4	4	4	4	4	4	4	4	4	3.17
2.22	2.5	2.5	2.78	2.78	3.05	3.17	3.17	3.45	3.45	4	4	4	4	4	4	4	4	4	4.28	4.28	4.47	4.55	4.71	4.71	4.87	4.95	5.03	5.11	5.5	5.5	5.5	5.5	5.5	6.33	6.45	6.72	7.83	7.55	7.83	8.22	8.78	9.05	9.17	9.33	9.33	9.59	9.59	9.59	9.59	9.59	9.59	9.59	9.45	9.21	9.05	9.05	9.05	9.05	8.78	8.78	8.5	8.5	8.22	7.95	7.55	7.55	7	6.8	6.53	6.25	6.05	5.5	5.5	5.5	5.5	5.22	5.11	5.11	4.95	4.83	4.83	4.71	4.67	4.55	4.47	4.28	4	4	4	4	4	4	4	4	4	4	4	3.45	3.17
2.22	2.22	2.5	2.78	2.78	3.05	3.17	3.17	3.17	3.45	4	4	4	4	4	4	4	4	4	4.28	4.28	4.28	4.55	4.55	4.71	4.83	4.95	4.95	5.11	5.5	5.5	5.5	5.5	5.5	6.05	6.33	6.72	7.28	7.55	7.83	8.22	8.78	9.05	9.05	9.05	9.33	9.45	9.59	9.59	9.59	9.59	9.59	9.45	9.45	9.05	9.17	9.05	9.05	8.78	8.78	8.78	8.5	8.5	8.22	7.83	7.55	7.55	7	6.72	6.45	6.25	6.05	5.5	5.5	5.5	5.5	5.22	5.22	5.03	4.87	4.83	4.71	4.67	4.63	4.55	4.55	4.28	4	4	4	4	4	4	4	4	4	4	3.45	3.17	3.17
2.22	2.22	2.5	2.5	2.78	2.78	3.05	3.17	3.17	3.45	3.45	4	4	4	4	4	4	4	4	4	4.28	4.28	4.47	4.55	4.67	4.83	4.83	4.95	5.03	5.22	5.5	5.5	5.5	5.5	6.05	6.33	6.72	7.28	7.55	7.83	8.22	8.5	9.05	9.05	9.05	9.17	9.45	9.45	9.45	9.45	9.45	9.59	9.45	9.45	9.05	9.33	9.05	9.05	8.78	8.78	8.78	8.5	8.5	8.22	7.83	7.55	7.55	7	6.72	6.45	6.25	5.5	5.5	5.5	5.5	5.5	5.3	5.11	4.95	4.83	4.83	4.71	4.71	4.63	4.55	4.39	4.28	4	4	4	4	4	4	4	4	4	4	3.45	3.45	3.17
2.22	2.22	2.5	2.78	2.78	2.78	3.05	3.17	3.17	3.45	4	4	4	4	4	4	4	4	4	4	4.28	4.28	4.47	4.55	4.67	4.71	4.83	4.95	5.03	5.3	5.5	5.5	5.5	5.5	6.13	6.33	6.61	7.28	7.55	7.83	8.22	8.78	8.78	9.05	9.05	9.17	9.33	9.45	9.45	9.59	9.59	9.45	9.45	9.45	9.05	9.17	9.05	9.05	8.78	8.78	8.78	8.5	8.5	8.22	7.95	7.55	7.55	7.08	6.72	6.45	6.33	6.05	5.5	5.5	5.5	5.5	5.14	5.11	5.03	4.71	4.83	4.83	4.71	4.55	4.55	4.47	4.28	4	4	4	4	4	4	4	4	4	4	4	3.45	3.17
