#Argon 25 bar Bataller paper
t[ns]    FWHM[μm]
1.207e-2 3.990e+1
2.329e-2 3.936e+1
3.078e-2 3.888e+1
5.323e-2 3.847e+1
8.243e-2 3.790e+1
1.131e-1 3.751e+1
1.273e-1 3.709e+1
1.575e-1 3.669e+1
2.029e-1 3.616e+1
2.176e-1 3.584e+1
2.843e-1 3.543e+1
3.407e-1 3.506e+1
3.938e-1 3.476e+1
4.312e-1 3.503e+1
4.761e-1 3.447e+1
5.226e-1 3.419e+1
5.729e-1 3.459e+1
6.510e-1 3.430e+1
7.354e-1 3.384e+1
8.098e-1 3.393e+1
8.922e-1 3.384e+1
9.477e-1 3.385e+1
9.739e-1 3.320e+1
1.058e+0 3.367e+1
1.147e+0 3.351e+1
1.218e+0 3.361e+1
1.262e+0 3.329e+1
1.337e+0 3.374e+1
1.419e+0 3.364e+1
1.499e+0 3.398e+1
1.584e+0 3.367e+1
1.629e+0 3.350e+1
1.705e+0 3.343e+1
1.737e+0 3.312e+1
1.798e+0 3.375e+1
1.882e+0 3.358e+1
1.951e+0 3.406e+1
1.971e+0 3.368e+1
2.054e+0 3.375e+1
2.132e+0 3.403e+1
2.228e+0 3.364e+1
2.286e+0 3.409e+1
2.325e+0 3.444e+1
2.326e+0 3.360e+1
2.388e+0 3.333e+1
2.469e+0 3.355e+1
2.647e+0 3.346e+1
2.696e+0 3.326e+1
2.737e+0 3.350e+1
2.813e+0 3.322e+1
2.855e+0 3.289e+1
2.908e+0 3.288e+1
2.956e+0 3.339e+1
2.999e+0 3.392e+1
3.066e+0 3.359e+1
3.147e+0 3.358e+1
3.234e+0 3.329e+1
3.318e+0 3.326e+1
3.324e+0 3.292e+1
3.398e+0 3.342e+1
3.461e+0 3.314e+1
3.499e+0 3.332e+1
3.578e+0 3.316e+1
3.655e+0 3.297e+1
3.722e+0 3.322e+1
3.809e+0 3.305e+1
3.878e+0 3.335e+1
3.919e+0 3.361e+1
4.006e+0 3.328e+1
4.083e+0 3.345e+1
4.169e+0 3.360e+1
4.251e+0 3.332e+1
4.337e+0 3.330e+1
4.403e+0 3.315e+1
4.436e+0 3.366e+1
